German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Parkplatz -e,ডার পার্কপ্লাৎস,পার্কিং জায়গা,parking space,Wo ist der Parkplatz?
parken (hat geparkt),পার্কেন,পার্ক করা,to park,Hier darf man nicht parken.
erlaubt (sein),এরলাউব্ট,অনুমোদিত,allowed/permitted,Rauchen ist hier nicht erlaubt.
verboten (sein),ফেরবোটেন,নিষিদ্ধ,forbidden/prohibited,Parken ist verboten.
das Gepäck (Sg.),ডাস গেপ্যাঙ্ক,লাগেজ,luggage/baggage,Ich gebe mein Gepäck ab.
abgeben (du gibst ab, er gibt ab) (hat abgegeben),আপগেবেন,জমা দেওয়া,to hand in/to check in,Bitte geben Sie Ihr Gepäck ab.
mitnehmen (du nimmst mit, er nimmt mit) (hat mitgenommen),মিটনেমেন,নিয়ে যাওয়া,to take along,Darf ich das mitnehmen?
allein,আলাইন,একা,alone,Er reist allein.
die Behörde -n,ডি বেহ্যোর্ডে,কর্মকাণ্ড/দপ্তর,authority/agency,Er geht zur Behörde.
die Person -en,ডি পেরজোন,ব্যক্তি,person,Jede Person braucht einen Ausweis.
der Geburtsname -n,ডার গেবুর্ট্সনামে,জন্মের নাম,birth name/maiden name,Was ist Ihr Geburtsname?
das Geschlecht -er,ডাস গেশ্লেখ্ট,লিঙ্গ,gender/sex,Bitte tragen Sie das Geschlecht ein.
der Ausländer -,ডার আউসল্যান্ডার,বিদেশি (পুরুষ),foreigner (male),Er ist Ausländer.
die Ausländerin -nen,ডি আউসল্যান্ডারিন,বিদেশি (মহিলা),foreigner (female),Sie ist Ausländerin.
getrennt (leben),গেট্রেন্ট,বিচ্ছিন্ন থাকা,separated (to live separately),Sie leben getrennt.
männlich,ম্যাঞ্লিশ,পুরুষ,male/masculine,Bitte männlich oder weiblich ankreuzen.
weiblich,ভাইব্লিশ,মহিলা,female/feminine,Das Geschlecht ist weiblich.
der/die Angehörige -n,ডার/ডি আনগেহ্যোরিগে,আত্মীয়,relative/family member,Er ist ein Angehöriger.
bedeuten (hat bedeutet),বেডয়টেন,মানে হওয়া,to mean,Was bedeutet das?
wiederholen (hat wiederholt),ভিডারহোলেন,পুনরাবৃত্তি করা,to repeat,Bitte wiederholen Sie den Satz.
verstehen (hat verstanden),ফেরশ্টেহেন,বুঝা,to understand,Verstehen Sie die Frage?
die Sprachschule -n,ডি শ্প্রাখশুলে,ভাষা স্কুল,language school,Sie besucht eine Sprachschule.
besuchen (hat besucht),বেজুখেন,দেখা করা/ভর্তি হওয়া,to visit/to attend,Er besucht einen Deutschkurs.
