German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Bibliothek -en,ডি বিবলিওথেক,গ্রন্থাগার,library,Die Bibliothek ist von Montag bis Freitag geöffnet.
geschlossen,গেশ্লোসেন,বন্ধ,closed,An gesetzlichen Feiertagen ist die Bibliothek geschlossen.
offnen,অফনেন,খোলা,to open,Die Bibliothek öffnet von Montag bis Freitag um 13 Uhr.
schließen,শ্লিসেন,বন্ধ করা,to close,Die Praxis schließt um 16 Uhr 30.
die Praxis -en,ডি প্রাক্সিস,চিকিৎসা কেন্দ্র,medical practice,Die Praxis schließt um 16 Uhr 30.
E2,এ-ৎসুই,ই-টু,E2,E2
der Tag -e,ডার টাগ,দিন,day,Ich habe die Kinder am Wochenende den ganzen Tag.
jed-,ইয়েড,প্রতিটি,every,Ich habe die Kinder jeden Morgen und jeden Abend
die Kita (Kinder-tagestätte) -s,ডি কিটা,ডে কেয়ার,daycare,Tom und Luka gehen in die Kita.
bringen,ব্রিংগেন,নিয়ে যাওয়া,to bring,Um 07.15 Uhr bringt Vera die Kinder in die Kita.
abholen,আপহোলেন,নিয়ে আসা,to pick up,Um 17 Uhr holt sie die Kinder ab.
mehr,মেহর,আরো,more,Ich hätte gern mehr Zeit für mich.
das Beispiel -e,ডাস বাইস্পিল,উদাহরণ,example,Zum Beispiel möchte ich mal wieder ins Kino gehen.
zum Beispiel (z. B.),ৎসুম বাইস্পিল,উদাহরণস্বরূপ,for example,Zum Beispiel möchte ich mal wieder ins Kino gehen.
wieder,ভিডার,আবার,again,Zum Beispiel möchte ich mal wieder ins Kino gehen.
der Freund -e / die Freundin -nen,ডার ফ্রয়ন্ড,বন্ধু,friend,Meine Freundinnen fragen: „Wann hast du denn mal Zeit, Vera?"
fragen,ফ্রাগেন,জিজ্ঞাসা করা,to ask,Meine Freundinnen fragen: „Wann hast du denn mal Zeit, Vera?"
antworten,আন্টভর্টেন,উত্তর দেওয়া,to answer,Und ich antworte: „Heute nicht."
total,টোটাল,সম্পূর্ণ,totally,Tut mir leid, ich bin total fertig.
TiPP,টিপ,পরামর্শ,tip,TiPP
Lernen Sie Wörter als Reihe.,লের্নেন,শেখা,Learn words as a series.,Lernen Sie Wörter als Reihe.
