German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
E1,এ-এক,ই-ওয়ান,E1,E1
lesen,লেজেন,পড়া,to read,Ich lese gern.
der Krimi -s,ডার ক্রিমি,রহস্য উপন্যাস,crime novel,Ich finde Krimis gut.
Lieblings-,লিবলিংস,প্রিয়,favorite,Mein Lieblingsfilm ist der James-Bond-Film Skyfall.
der Film -e,ডার ফিল্ম,চলচ্চিত্র,film,Mein Lieblingsfilm ist der James-Bond-Film Skyfall.
wichtig,ভিখটিগ,গুরুত্বপূর্ণ,important,Das ist wichtig: meine Familie.
der Grill -s,ডার গ্রিল,গ্রিল,grill,Das ist wichtig: gute Grillwürstchen.
E,এ,ই,E,E
sammeln,জামেলেন,সংগ্রহ করা,to collect,Alma sammelt Wolkenfotos.
der Beruf -e,ডার বেরুফ,পেশা,profession,Was ist dein Beruf?
das Foto -s,ডাস ফোটো,ছবি,photo,Das Foto gefällt mir sehr.
besonder-/besonders,বেসন্ডার,বিশেষ,especially,Wolken gefallen mir besonders gut.
fotografieren,ফোটোগ্রাফিয়ারেন,ছবি তোলা,to photograph,Ich finde Wolken schön und ich fotografiere gern.
der Spaß (Sg.),ডার স্পাস,মজা,fun,Das macht Spaß.
das Smartphone -s,ডাস স্মার্টফোন,স্মার্টফোন,smartphone,Ich brauche nur mein Smartphone.
dumm,ডুম,বোকা,stupid,Oh, wie dumm!
oft,অফ্ট,প্রায়শই,often,Spielst du oft?
meinen,মাইনেন,মনে করা,to mean,Du meinst das Würfelspiel?
der Würfel -,ডার ভ্যুরফেল,পাশা,dice,Du meinst das Würfelspiel?
das Spiel -e,ডাস স্পিল,খেলা,game,Hast du kein Backgammon-Spiel?
leider,লাইডার,দুর্ভাগ্যবশত,unfortunately,Aber da gibt es leider ein Problem.
das Problem -e,ডাস প্রবলেম,সমস্যা,problem,Aber da gibt es leider ein Problem.
immer,ইমার,সবসময়,always,Das Backgammon-Spiel habe ich immer mit dabei.
vielleicht,ভিলাইখ্ট,সম্ভবত,perhaps,Oder vielleicht doch?
einfach,আইনফাখ,সহজ,simple,Ach, das ist ganz einfach.
schnell,শ্নেল,দ্রুত,quick,Das lernst du schnell.
