German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
Lernwortschatz,লের্নভর্টশাৎৎস,শেখার শব্দভাণ্ডার,vocabulary,Lernwortschatz
D2,ডি-ৎসুই,ডি-টু,D2,D2
D,ডি,ডি,D,D
schade,শাডে,দুঃখিত,too bad/pity,Ich habe heute keine Zeit. - Schade!
D3,ডি-ড্রাই,ডি-থ্রি,D3,D3
der Kilometer -,ডার কিলোমিটার,কিলোমিটার,kilometer,Bist du schon einmal 100 Kilometer Fahrrad gefahren?
E,এ,ই,E,E
E1,এ-এক,ই-ওয়ান,E1,E1
die Kommunikation (Sg.),ডি কম্মুনিকেশন,যোগাযোগ,communication,Sprechen = Kommunikation
lieb-,লিব,প্রিয়,dear,Liebe Eltern ...
das Mädchen -,ডাস ম্যাডখেন,মেয়ে,girl,Die Mädchen und Jungen machen einen Ausflug.
der Junge -n,ডার ইয়ুঙ্গে,ছেলে,boy,Die Mädchen und Jungen machen einen Ausflug.
die Klasse -n,ডি ক্লাসে,ক্লাস,class,Mein Sohn Tobias geht in die Klasse von Frau Meikert.
das Schwimmbad -er,ডাস শভিম্বাড,সাঁতারের পুল,swimming pool,Die Lehrerin will mit den Kindern ins Schwimmbad fahren.
der Eintritt (Sg.),ডার আইন্ট্রিট,প্রবেশ,entrance,Der Eintritt kostet 7,50 Euro.
losfahren,লোসফারেন,যাত্রা শুরু করা,to set off,Wir fahren um 8 Uhr los.
zurückkommen,ৎসুরুকোমেন,ফিরে আসা,to come back,Wir kommen um 14 Uhr zurück.
die Grundschule -n,ডি গ্রুন্ডস্কুলে,প্রাথমিক বিদ্যালয়,elementary school,Mein Sohn geht in die Grundschule.
E3,এ-ড্রাই,ই-থ্রি,E3,E3
mitkommen,মিটকোমেন,সাথে আসা,to come along,Jonas kann heute zum Ausflug mitkommen.
E4,এ-ফিয়ার,ই-ফোর,E4,E4
der Unterricht (Sg.),ডার উন্টাররিখ্ট,শিক্ষা,lesson/class,Ich kann heute nicht zum Unterricht kommen.
leidtun,লাইটুন,খারাপ লাগা,to be sorry,Oh, das tut mir leid
