German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Klub -s,ডার ক্লুব,ক্লাব,club,Er geht in den Klub.
die Notaufnahme -n,ডি নোটআউফনামে,জরুরি বিভাগ,emergency room,Die Notaufnahme ist im Erdgeschoss.
der Bereich -e,ডার বেরাইখ,অঞ্চল/বিভাগ,area/section,Dieser Bereich ist gesperrt.
die Tablette -n,ডি টাবলেটে,ট্যাবলেট/বড়ি,tablet/pill,Nehmen Sie eine Tablette.
das Auge -n,ডাস আউগে,চোখ,eye,Mein Auge tut weh.
weh tun (hat wehgetan),ভে টুন,ব্যথা করা,to hurt/to ache,Mein Kopf tut weh.
der Unfall -e,ডার উনফাল,দুর্ঘটনা,accident,Es gab einen Unfall.
der Doktor -en,ডার ডক্টর,ডাক্তার,doctor,Ich gehe zum Doktor.
der Schmerz -en,ডার শ্মেরৎস,ব্যথা,pain,Ich habe Schmerzen.
sollen (ich soll, du sollst, er soll),জোলেন,উচিত,should/ought to,Sie sollen zum Arzt gehen.
beide,বাইডে,দুইই,both,Beide sind krank.
lustig,লুস্টিগ,মজার,funny/amusing,Das ist lustig!
schlimm,শ্লিম,খারাপ,bad/terrible,Das ist schlimm.
geben (du gibst, er gibt) (hat gegeben),গেবেন,দেওয়া,to give,Gib mir bitte das Buch.
die Idee -n,ডি ইডেয়ে,ধারণা,idea,Das ist eine gute Idee.
das Bein -e,ডাস বাইন,পা,leg,Mein Bein tut weh.
das Haar -e,ডাস হার,চুল,hair,Sie hat schönes Haar.
das Ohr -en,ডাস ওর,কান,ear,Mein Ohr tut weh.
der Arm -e,ডার আর্ম,বাহু,arm,Er hat den Arm gebrochen.
der Bauch -e,ডার বাউখ,পেট,stomach/belly,Ich habe Bauchschmerzen.
der Finger -,ডার ফিংগার,আঙুল,finger,Er hat sich am Finger geschnitten.
