German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
erste,এরস্টে,প্রথম,first,,Das ist die erste Lektion.
zweite,ৎসভাইটে,দ্বিতীয়,second,,Heute ist der zweite Januar.
dritte,ড্রিটে,তৃতীয়,third,,Er kommt am dritten Tag.
der Februar,ডার ফেব্রুয়ার,ফেব্রুয়ারি,February,,Im Februar ist Karneval.
der März,ডার ম্যার্ৎস,মার্চ,March,,Der März hat 31 Tage.
der April,ডার আপ্রিল,এপ্রিল,April,,Im April blühen die Blumen.
der Mai,ডার মাই,মে,May,,Im Mai ist das Wetter schön.
der Juni,ডার ইয়ুনি,জুন,June,,Im Juni beginnt der Sommer.
der Juli,ডার ইয়ুলি,জুলাই,July,,Im Juli haben wir Ferien.
der August,ডার আউগুস্ট,আগস্ট,August,,Im August ist es heiß.
der September,ডার জেপ্টেম্বার,সেপ্টেম্বর,September,,Im September beginnt die Schule.
der Oktober,ডার ওক্টোবার,অক্টোবর,October,,Im Oktober sind die Blätter bunt.
der Dezember,ডার ডেৎসেম্বার,ডিসেম্বর,December,,Im Dezember ist Weihnachten.
Monate,মোনাটে,মাসগুলো,months,,Ein Jahr hat zwölf Monate.
die Blume -n,ডি ব্লুমে,ফুল,flower,,Sie schenkt ihm eine Blume.
der Karneval (Sg.),ডার কার্নেভাল,কার্নিভাল,carnival,,In Köln ist der Karneval berühmt.
letzt-,লেট্স্ট-,শেষ,last (prefix),,Letzte Woche war ich krank.
mitmachen (hat mitgemacht),মিটমাখেন,অংশ নেওয়া,to participate,hat mitgemacht,Er macht bei dem Spiel mit.
der Feiertag -e,ডার ফাইয়ারটাগ,ছুটির দিন,public holiday,,Morgen ist ein Feiertag.
