German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
das Museum - Museen,ডাস মুজেয়াম,যাদুঘর,museum,Wir besuchen das Museum.
die Ampel -n,ডি আম্পেল,ট্রাফিক লাইট,traffic light,An der Ampel müssen Sie warten.
die Tankstelle -n,ডি টাংকশ্টেলে,পেট্রল পাম্প,gas station,Wo ist die nächste Tankstelle?
der Stadtplan -e,ডার শ্টাটপ্লান,শহরের মানচিত্র,city map,Haben Sie einen Stadtplan?
fremd,ফ্রেম্ট,অপরিচিত,foreign/strange,Die Stadt ist mir fremd.
fliegen (ist geflogen),ফ্লিগেন,উড়ে যাওয়া,to fly,Er ist nach Berlin geflogen.
das Flugzeug -e,ডাস ফ্লুগৎসয়েগ,বিমান,airplane,Das Flugzeug startet um 8 Uhr.
die Straßenbahn -en,ডি শ্ট্রাসেনবান,ট্রাম,tram,Die Straßenbahn fährt alle zehn Minuten.
der Zug -e,ডার ৎসুগ,ট্রেন,train,Der Zug fährt in fünf Minuten.
die U-Bahn -en,ডি উ-বান,আন্ডারগ্রাউন্ড,subway/underground,Wir fahren mit der U-Bahn.
der Bus -se,ডার বুস,বাস,bus,Der Bus kommt gleich.
die S-Bahn -en,ডি এস-বান,সিটি ট্রেন,S-Bahn/city train,Die S-Bahn bringt uns zum Zentrum.
wohin,ভোহিন,কোথায়,where (to),Wohin fahren Sie?
die Station -en,ডি শ্টাটশন,স্টেশন,station,Die nächste Station ist Hauptbahnhof.
der Lkw -s,ডার এলকাভে,লরি,truck/lorry,Der Lkw blockiert die Straße.
der Kiosk -e,ডার কিয়স্ক,কিয়স্ক,kiosk,Am Kiosk kann man Zeitungen kaufen.
die Haltestelle -n,ডি হাল্টেশ্টেলে,বাস স্টপ,bus stop,An der nächsten Haltestelle steige ich aus.
die Buchhandlung -en,ডি বুখহান্ডলুং,বইয়ের দোকান,bookshop,Die Buchhandlung ist geschlossen.
sitzen (hat gesessen),জিৎসেন,বসা,to sit,Er sitzt im Zug.
die Bücherei -en,ডি ব্যুখারাই,লাইব্রেরি,library,Die Bücherei hat am Sonntag geschlossen.
der Baum -e,ডার বাউম,গাছ,tree,Der Baum ist sehr alt.
die Bank -en,ডি বাংক,বেঞ্চ/ব্যাংক,bench/bank,Setzen Sie sich auf die Bank.
an,আন,এ/কাছে,at/on,Das Bild hängt an der Wand.
auf,আউফ,উপর,on/onto,Das Buch liegt auf dem Tisch.
hinter,হিন্টার,পিছনে,behind,Die Toilette ist hinter der Tür.
