German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Führerschein -e,ডার ফ্যুরারশাইন,ড্রাইভিং লাইসেন্স,driving license,Er hat einen Führerschein.
das Ticket -s,ডাস টিকেট,টিকেট,ticket,Er kauft ein Ticket.
das Amt -er,ডাস আম্ট,কার্যালয়,office/authority,Er geht zum Amt.
gültig,গুল্টিগ,বৈধ,valid,Der Ausweis ist noch gültig.
mieten (hat gemietet),মিয়েটেন,ভাড়া নেওয়া,to rent,Er mietet eine Wohnung.
ausländisch,আউসল্যান্ডিশ,বিদেশি,foreign,Ausländische Studenten brauchen ein Visum.
europäisch,ইউরোপাইশ,ইউরোপীয়,European,Er kommt aus einem europäischen Land.
die Europäische Union (EU) (Sg.),ডি ইউরোপাইশে উনিয়ন,ইউরোপীয় ইউনিয়ন,European Union,Deutschland ist in der EU.
jung,ইউং,তরুণ,young,Er ist noch jung.
die Fahrt -en,ডি ফার্ট,যাত্রা,trip/journey,Die Fahrt dauert zwei Stunden.
die Fahrkarte -n,ডি ফারকার্টে,ট্রেন টিকেট,train ticket,Er kauft eine Fahrkarte.
A1,এ-এক,এ-ওয়ান,A1,A1
der Antrag -e,ডার আন্ট্রাগ,আবেদন,application,Er stellt einen Antrag.
müssen (ich muss, du musst, er muss),ম্যুসেন,হতে হবে,to have to/must,Ich muss zum Amt gehen.
ausfüllen (hat ausgefüllt),আউসফুলেন,পূরণ করা,to fill out,Er füllt das Formular aus.
der Ausweis -e,ডার আউসভাইস,পরিচয়পত্র,ID card,Er braucht einen Ausweis.
mitbringen (hat mitgebracht),মিটব্রিংগেন,নিয়ে আসা,to bring along,Er bringt seine Papiere mit.
die Papiere (Pl.),ডি পাপিয়ারে,কাগজপত্র,documents,Er hat alle Papiere dabei.
unterschreiben (hat unterschrieben),উন্টারশ্রাইবেন,স্বাক্ষর করা,to sign,Er unterschreibt den Vertrag.
bar,বার,নগদ,cash,Er zahlt bar.
A2,এ-দুই,এ-টু,A2,A2
der Automat -en,ডার আউটোমাট,অটোমেটিক মেশিন,automated machine,Er kauft das Ticket am Automaten.
funktionieren (hat funktioniert),ফুংকশনিয়ারেন,কাজ করা,to work,Der Automat funktioniert nicht.
das Ziel -e,ডাস ৎসিল,গন্তব্য,destination,Er wählt sein Ziel.
wählen (hat gewählt),ভ্যাহলেন,নির্বাচন করা,to choose/select,Er wählt die Station.
der/die Erwachsene -n,ডার/ডি এরভাক্সেনে,প্রাপ্তবয়স্ক,adult,Erwachsene zahlen mehr.
