German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Geschichte -n,ডি গেশিশটে,ইতিহাস/গল্প,history/story,Er liest eine interessante Geschichte.
das Krankenhaus -er,ডাস ক্রানকেনহাউস,হাসপাতাল,hospital,Er arbeitet im Krankenhaus.
das Interview -s,ডাস ইন্টারভিউ,সাক্ষাৎকার,interview,Er gibt ein Interview.
die Zeitung -en,ডি ৎসাইটুং,সংবাদপত্র,newspaper,Er liest die Zeitung jeden Morgen.
das Fernsehen (Sg.),ডাস ফার্নজেহেন,টেলিভিশন,television,Er schaut gerne Fernsehen.
die Ausbildung -en,ডি আউসবিলদুং,প্রশিক্ষণ,training/apprenticeship,Er macht eine Ausbildung zum Mechaniker.
der Chef -s / die Chefin -nen,ডার শেফ,বস,boss,Der Chef ist sehr freundlich.
der Patient -en / die Patientin -nen,ডার পাশিয়েন্ট,রোগী,patient,Der Patient ist im Krankenhaus.
der Hausmeister - / die Hausmeisterin -nen,ডার হাউসমাইস্টার,ভবন তত্ত্বাবধায়ক,building caretaker,Der Hausmeister repariert die Heizung.
der Journalist -en / die Journalistin -nen,ডার জোর্নালিস্ট,সাংবাদিক,journalist,Der Journalist schreibt einen Artikel.
das Thema Themen,ডাস টেমা,বিষয়,topic/subject,Das Thema ist sehr interessant.
eigen-,আইগেন,নিজস্ব,own,Er hat ein eigenes Auto.
A,আ,এ,A,A
A2,আ-ৎসুই,এ-টু,A2,A2
der Arzt -e / die Ärztin -nen,ডার আরৎস্ট,চিকিৎসক,doctor,Der Arzt untersucht den Patienten.
der Mechatroniker - / die Mechatronikerin -nen,ডার মেকাট্রোনিকার,মেকাট্রনিক্স প্রকৌশলী,mechatronics engineer,Er ist Mechatroniker.
der Hausmann -er/ die Hausfrau -en,ডার হাউসমান,গৃহস্থালি পরিচালনাকারী,househusband/housewife,Er ist Hausmann.
der Polizist -en / die Polizistin -nen,ডার পোলিৎসিস্ট,পুলিশ,police officer,Der Polizist hilft den Menschen.
der Krankenpfleger -,ডার ক্রানকেনফ্লেগার,নার্স (পুরুষ),male nurse,Er arbeitet als Krankenpfleger.
die Krankenschwester -n,ডি ক্রানকেনশ্ভেস্টার,নার্স,female nurse,Die Krankenschwester kümmert sich um die Patienten.
