German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
das Hemd -en,ডাস হেম্ট,শার্ট,shirt,,Er trägt ein weißes Hemd.
der Anzug -e,ডার আনৎসুগ,স্যুট,suit,,Er braucht einen neuen Anzug.
die Brille -n,ডি ব্রিলে,চশমা,glasses,,Er trägt eine Brille.
der Schirm -e,ডার শির্ম,ছাতা,umbrella,,Nehmen Sie einen Schirm mit!
langweilig,লাংভাইলিগ,বিরক্তিকর,boring,,Der Film war langweilig.
günstig,গ্যুন্স্টিগ,সস্তা,favorable/cheap,,Das ist ein günstiges Angebot.
stehen (hat gestanden),শ্টেহেন,দাঁড়ানো/মাপসই হওয়া,to stand/to fit,gestanden,Das Kleid steht dir gut.
die Bratwurst -e,ডি ব্রাটভুর্স্ট,ব্রাটভুর্স্ট,bratwurst,,Eine Bratwurst bitte!
die Landschaft -en,ডি লান্টশাফ্ট,প্রাকৃতিক দৃশ্য,landscape,,Die Landschaft ist schön.
der Berg -e,ডার বের্গ,পাহাড়,mountain,,Der Berg ist 2000 Meter hoch.
das Dorf -er,ডাস ডরফ,গ্রাম,village,,Er wohnt in einem kleinen Dorf.
der Wald -er,ডার ভাল্ট,বন,forest,,Wir gehen im Wald spazieren.
die Nordsee (Sg.),ডি নর্ডজে,উত্তর সাগর,North Sea,,An der Nordsee ist es schön.
der Strand -e,ডার শ্ট্রান্ট,সৈকত,beach,,Am Strand liegen viele Menschen.
das Meer -e,ডাস মেয়ার,সমুদ্র,sea,,Wir fahren ans Meer.
der Hafen -,ডার হাফেন,বন্দর,port/harbor,,Das Schiff ist im Hafen.
nie,নি,কখনো না,never,,Er kommt nie zu spät.
besser,বেসার,ভালো,better,,Das ist besser.
am besten,আম বেস্টেন,সবচেয়ে ভালো,best,,Das schmeckt am besten.
rückwärts,র্যুকভার্ট্স,পিছনের দিকে,backwards,,Fahren Sie rückwärts.
vorwärts,ফরভার্ট্স,সামনের দিকে,forwards,,Gehen Sie vorwärts.
dabei,ডাবাই,এতে/সাথে,in the process,,Er ist gerade dabei.
schwer,শ্ভেয়ার,কঠিন/ভারী,difficult/heavy,,Das ist eine schwere Aufgabe.
der Musiker - / die Musikerin -nen,ডার মুজিকার / ডি মুজিকারিন,সংগীতশিল্পী,musician,,Er ist Musiker.
