German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
brauchen,ব্রাউখেন,প্রয়োজন,to need,Wir brauchen Eier.
kaufen,কাউফেন,কেনা,to buy,Lili kauft Bananen.
der Hunger (Sg.),ডার হুঙ্গার,ক্ষুধা,hunger,Ich habe Hunger.
der Euro (Sg.),ডার ইউরো,ইউরো,euro,Das macht dann 3 Euro 87.
das Fleisch (Sg.),ডাস ফ্লাইশ,মাংস,meat,Haben wir Fleisch?
das Bier (Sg.),ডাস বিয়ার,বিয়ার,beer,Haben wir Bier?
der Käse (Sg.),ডার কেজে,পনির,cheese,Ich habe Käse.
das Salz (Sg.),ডাস সালৎস,লবণ,salt,Haben Sie Salz?
der Tee -S,ডার টে,চা,tea,Haben wir Tee?
das Brot -e,ডাস ব্রোট,রুটি,bread,Sind das Brote?
der Wein -e,ডার ভাইন,ওয়াইন,wine,Brauchen wir Wein?
das Mineralwasser (Sg.),ডাস মিনারালভাসার,খনিজ জল,mineral water,Haben wir Mineralwasser?
der Reis (Sg.),ডার রাইস,ভাত,rice,Brauchst du Reis?
der Fisch -e,ডার ফিশ,মাছ,fish,Brauchen wir Fisch?
B,বে,বি,B,B
B1,বে-এক,বি-ওয়ান,B1,B1
ein-,আইন,একটি,a/an,Das ist ein Apfel.
kein-,কাইন,কোনো না,no/not a,Das ist kein Apfel.
B2,বে-ৎসুই,বি-টু,B2,B2
der Apfel,ডার আপফেল,আপেল,apple,Das ist ein Apfel.
die Orange -n,ডি ওরাঞ্জে,কমলা,orange,Das ist eine Orange.
der Kuchen -,ডার কুখেন,কেক,cake,Das ist kein Kuchen.
der Kaffee -s,ডার কাফে,কফি,coffee,Das ist kein Kaffee.
der Saft -e,ডার জাফ্ট,জুস,juice,Das ist kein Saft.
das Brötchen -,ডাস ব্রোটখেন,ছোট রুটি,roll,Das ist doch kein Brötchen.
das Würstchen -,ডাস ভ্যুরস্টখেন,ছোট সসেজ,sausage,Ist das ein Würstchen?
die Birne -n,ডি বিরনে,নাশপাতি,pear,Das ist keine Birne.
die Tomate -n,ডি টোমাতে,টমেটো,tomato,Das ist eine Tomate.
C,ৎসে,সি,C,C
C3,ৎসে-ড্রাই,সি-থ্রি,C3,C3
die Kartoffel -n,ডি কার্টফেল,আলু,potato,Nein, das sind keine Kartoffeln.
der/ das Joghurt -s,ডার/ডাস ইয়োগুর্ট,দই,yogurt,Ist das ein Joghurt?
die Zwiebel -n,ডি ৎসভিবেল,পেঁয়াজ,onion,Sind das Zwiebeln?
C4,ৎসে-ফিয়ার,সি-ফোর,C4,C4
das Regal -e,ডাস রেগাল,তাক,shelf,In Regal A sind drei...
