German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
ab,আব,থেকে,from,Ich suche ab sofort eine 2-Zimmer-Wohnung.
sofort,জোফর্ট,অবিলম্বে,immediately,Ich suche ab sofort eine 2-Zimmer-Wohnung.
maximal (max.),মাক্সিমাল,সর্বোচ্চ,maximum,2-Zimmer-Wohnung mit Balkon bis maximal 750 Euro.
der Anruf -e,ডার আনরুফ,ফোন কল,phone call,Ich freue mich auf Ihren Anruf.
möbliert,ম্যোবলিয়ার্ট,আসবাবপত্র সহ,furnished,Das Zimmer ist möbliert.
das TV -s,ডাস টিভি,টিভি,TV,Schöne möblierte 1-Zi.-Wohnung mit Balkon und TV.
die Garage -n,ডি গারাজে,গ্যারেজ,garage,Sie möchten eine Wohnung mit Garage.
der Quadratmeter (m²/qm) -,ডার কভাড্রাটমিটার,বর্গমিটার,square meter,Das Zimmer ist 21 m² groß.
nur,নুর,শুধু,only,Sie möchten nur 400 bis 500 Euro Miete bezahlen.
die Miete -n,ডি মিয়েতে,ভাড়া,rent,Sie möchten nur 400 bis 500 Euro Miete bezahlen.
bezahlen,বেট্সালেন,পেমেন্ট করা,to pay,Sie möchten nur 400 bis 500 Euro Miete bezahlen.
E,এ,ই,E,E
E1,এ-এক,ই-ওয়ান,E1,E1
verkaufen,ফেরকাউফেন,বিক্রি করা,to sell,Was verkauft er?
etwas,এটভাস,কিছু,something,Wer verkauft etwas?
der Computer -,ডার কম্পিউটার,কম্পিউটার,computer,Sie verkauft einen Computertisch.
der Schreibtisch -e,ডার শ্রাইবটিশ,লেখার টেবিল,desk,Er verkauft einen Schreibtisch.
E2,এ-ৎসুই,ই-টু,E2,E2
heute,হয়তে,আজ,today,Sind Sie heute Abend zu Hause?
Welche ....?,ভেলখে,কোনটি,which,Welche Farbe hat der Tisch?
also,আলজো,তাহলে,so,Also, der Tisch ist dunkelbraun.
ungefähr,উঙ্গেফার,প্রায়,approximately,Der Tisch ist ungefähr 60 cm breit.
der Meter (m) -,ডার মিটার,মিটার,meter,Ungefähr zwei Meter lang.
lang,লাং,দীর্ঘ,long,Ungefähr zwei Meter lang.
genau,গেনাউ,ঠিক,exact,Hm... Wie lang ist er denn genau?
sehen,জেহেন,দেখা,to see,Ich möchte den Tisch gern sehen.
E3,এ-ড্রাই,ই-থ্রি,E3,E3
hoch,হখ,উচ্চ,tall,Der Kühlschrank ist 85 Zentimeter hoch.
morgen,মর্গেন,আগামীকাল,tomorrow,Sind Sie morgen zu Hause?
5,ফুন্ফ,পাঁচ,5,5
