German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Zentimeter (cm) -,ডার ৎসেন্টিমিটার,সেন্টিমিটার,centimeter,Ungefähr 60 Zentimeter breit.
mal,মাল,বার,times,Das Kinderbett ist 60 mal 120 Zentimeter groß.
D3,ডি-ড্রাই,ডি-থ্রি,D3,D3
das Handy -s,ডাস হ্যান্ডি,মোবাইল,cell phone,Meine Handynummer ist: 0163/235621147.
die Arbeit (Sg.),ডি আরবাইট,কাজ,work,Meine Nummer bei der Arbeit ist:...
D4,ডি-ফিয়ার,ডি-ফোর,D4,D4
die Anzeige -n,ডি আনৎসাইগে,বিজ্ঞাপন,advertisement,Hallo Maria, in der Zeitung sind heute Anzeigen.
nett,নেট,ভালো,nice,Nettes Ehepaar mit Kind.
das Ehepaar -e,ডাস এহেপার,দম্পতি,married couple,Nettes Ehepaar mit Kind.
suchen,জুখেন,খোঁজা,to search,Sie suchen ein Zimmer.
der Garten -,ডার গার্টেন,বাগান,garden,Ehepaar mit Kind sucht eine 3-4-Zimmer-Wohnung mit Garten.
vermieten,ফেরমিয়েটেন,ভাড়া দেওয়া,to rent,Vermiete Apartment, 36 m².
das Apartment -s,ডাস আপার্টমেন্ট,অ্যাপার্টমেন্ট,apartment,Das Apartment kostet 440 Euro im Monat.
der Raum -e,ডার রাউম,কক্ষ,room,Der Wohnraum ist groß, 36 qm.
der Stock (Sg.),ডার স্টক,তলা,floor,Ich suche eine Wohnung im 1. Stock.
circa (ca.),ৎসিরকা,প্রায়,approximately,3-Zimmer-Wohnung, ca. 60 m².
privat,প্রিভাট,ব্যক্তিগত,private,Von privat: helle 4-Zimmer-Wohnung...
rot,রোট,লাল,red,rot
gelb,গেলব,হলুদ,yellow,gelb
braun,ব্রাউন,বাদামি,brown,braun
weiß,ভাইস,সাদা,white,weiß
blau,ব্লাউ,নীল,blue,blau
grün,গ্র্যুন,সবুজ,green,grün
