German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
enden,এন্ডেন,শেষ হওয়া,to end,Wann endet der Kurs?
von ... bis ...,ভন ... বিস ...,থেকে ... পর্যন্ত,from ... to ...,Der Kurs ist von neun bis zwölf.
C2,ৎসে-ৎসুই,সি-টু,C2,C2
die Party -s,ডি পার্টি,পার্টি,party,Ich mache am Freitag eine Party.
die Zeit (Sg.),ডি ৎসাইট,সময়,time,Hast du Zeit?
der Fußball (Sg.),ডার ফুসবাল,ফুটবল,football/soccer,Ich spiele Fußball.
der Samstag -e,ডার জামস্টাগ,শনিবার,Saturday,Heute ist Samstag.
der Sonntag -e,ডার জোন্টাগ,রবিবার,Sunday,Am Sonntag?
C3,ৎসে-ড্রাই,সি-থ্রি,C3,C3
die Hausaufgabe -n,ডি হাউসাউফগাবে,বাড়ির কাজ,homework,Sina macht Hausaufgaben.
die Mama -s,ডি মামা,মা,mom,Wann ruft Tim Mama an?
schlafen,শ্লাফেন,ঘুমানো,to sleep,He, Lisa, schläfst du schon?
C4,ৎসে-ফিয়ার,সি-ফোর,C4,C4
das Wochenende -n,ডাস ভোখেনএন্ডে,সাপ্তাহিক ছুটি,weekend,Julia steht am Wochenende früh auf.
nächst-,নাখস্ট,পরবর্তী,next,Der Terminkalender für nächste Woche: ...
die Woche -n,ডি ভোখে,সপ্তাহ,week,Der Terminkalender für nächste Woche: ...
D,ডি,ডি,D,D
D1,ডি-এক,ডি-ওয়ান,D1,D1
der Mittag -e,ডার মিট্টাগ,দুপুর,noon/midday,Am Mittag isst er mit Nina.
der Morgen -,ডার মর্গেন,সকাল,morning,Am Morgen frühstückt Robert.
der Abend -e,ডার আবেন্ড,সন্ধ্যা,evening,Am Abend spielt er Fußball.
der Nachmittag -e,ডার নাখমিট্টাগ,বিকাল,afternoon,Am Nachmittag macht er Sport.
der Vormittag -e,ডার ভর্মিট্টাগ,সকাল,late morning,Am Vormittag räumt er auf.
die Nacht -e,ডি নাখ্ট,রাত,night,In der Nacht geht er spazieren.
D2,ডি-ৎসুই,ডি-টু,D2,D2
das Kino -s,ডাস কিনো,সিনেমা,cinema/movies,Am Abend geht er ins Kino.
der Sport (Sg.),ডার স্পোর্ট,খেলাধুলা,sport,Am Nachmittag macht Robert Sport.
trinken,ট্রিংকেন,পান করা,to drink,Er trinkt nur Kaffee.
die Pizza Pizzen,ডি পিৎসা,পিজ্জা,pizza,Er isst eine Pizza.
chatten,চাটেন,চ্যাট করা,to chat,In der Nacht chattet Robert.
E,এ,ই,E,E
E1,এ-এক,ই-ওয়ান,E1,E1
geöffnet,গেঅফনেট,খোলা,open,Bis 17 Uhr geöffnet.
der Termin -e,ডার টারমিন,অ্যাপয়েন্টমেন্ট,appointment,Der Termin ist um 17 Uhr.
der Kindergarten *,ডার কিন্ডারগার্টেন,কিন্ডারগার্টেন,kindergarten,Der Kindergarten ist bis 17 Uhr geöffnet.
das Geschäft -e,ডাস গেশ্যাফ্ট,দোকান,shop/store,Am Samstag ist das Geschäft von 8 Uhr 30 bis 13 Uhr geöffnet.
