German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Fuß -e,ডার ফুস,পা,foot,Mein Fuß tut weh.
der Hals -e,ডার হাল্স,গলা,neck/throat,Ich habe Halsschmerzen.
der Kopf -e,ডার কপ্ফ,মাথা,head,Mein Kopf tut weh.
der Rücken -,ডার র্যুকেন,পিঠ,back,Ich habe Rückenschmerzen.
die Brust -e,ডি ব্রুস্ট,বুক,chest/breast,Er hat Schmerzen in der Brust.
die Hand -e,ডি হান্ট,হাত,hand,Wasch dir die Hände!
die Nase -n,ডি নাজে,নাক,nose,Die Nase blutet.
der Mund -er,ডার মুন্ড,মুখ,mouth,Öffnen Sie bitte den Mund.
sein -e ihr -e,জাইন -এ ইয়ার -এ,তার/তাদের,his/her/their,Das ist sein Buch.
der Zahn -e,ডার ৎসান,দাঁত,tooth,Ich habe Zahnschmerzen.
informieren (hat informiert),ইনফরমিয়ারেন,তথ্য দেওয়া,to inform,Bitte informieren Sie mich.
unser-,উনজার-,আমাদের,our,Das ist unser Haus.
ausfallen (du fällst aus, er fällt aus) (ist ausgefallen),আউসফালেন,বাতিল হওয়া,to fail/to be cancelled,Der Zug ist ausgefallen.
die Nachricht -en,ডি নাখরিখ্ট,খবর/বার্তা,message/news,Ich habe eine Nachricht für Sie.
der Kuss -e,ডার কুস,চুম্বন,kiss,Ein Kuss zum Abschied.
eu(e)r-,ওইয়ার-,তোমাদের,your (plural),Das ist euer Zimmer.
gesund,গেজুন্ড,স্বাস্থ্যবান,healthy,Er ist wieder gesund.
hoffentlich,হফেন্ট্লিশ,আশা করি,hopefully,Hoffentlich geht es dir besser.
der/die Bekannte -n,ডার/ডি বেকান্টে,পরিচিত,acquaintance,Er ist ein Bekannter von mir.
der Schritt -e,ডার শ্রিখ্ট,পদক্ষেপ,step,Der nächste Schritt ist wichtig.
ein paar,আইন পার,কয়েকটি,a few,Ich brauche ein paar Minuten.
die Medizin (Sg.),ডি মেডিৎসিন,ওষুধ,medicine,Die Medizin hilft.
ruhig,রুইগ,শান্ত,quiet/calm,Bitte bleiben Sie ruhig!
die Apotheke -n,ডি আপোথেকে,ফার্মেসি,pharmacy,Wo ist die nächste Apotheke?
das Fieber (Sg.),ডাস ফিবার,জ্বর,fever,Er hat Fieber.
der Husten (Sg.),ডার হুস্টেন,কাশি,cough,Ich habe Husten.
die Salbe -n,ডি জালবে,মলম,ointment/cream,Tragen Sie die Salbe auf.
verwenden (hat verwendet),ফেরভেন্ডেন,ব্যবহার করা,to use,Wie verwendet man das?
