German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
schmal,শমাল,সংকীর্ণ,narrow,Mein Haus ist sehr schmal.
richtig,রিখটিগ,সঠিক,right/correct,Ja, richtig.
breit,ব্রাইট,চওড়া,wide,Die Straße ist breit.
der Schrank -e,ডার শ্রাঙ্ক,আলমারি,wardrobe,Hier ist noch ein Schrank.
der Kühlschrank -e,ডার ক্যুলশ্রাঙ্ক,রেফ্রিজারেটর,refrigerator,Was kostet der Kühlschrank?
das Sofa -s,ডাস জোফা,সোফা,sofa,Was kostet das Sofa?
der Tisch -e,ডার টিশ,টেবিল,table,Der Tisch ist sehr groß.
der Stuhl -e,ডার স্টুল,চেয়ার,chair,Hier sind Stühle.
das Bett -en,ডাস বেট,বিছানা,bed,Wo sind denn die Betten?
der Fernseher -,ডার ফের্নজেহার,টেলিভিশন,TV,Wie viel kostet der Fernseher?
die Dusche -n,ডি ডুশে,শাওয়ার,shower,In der Wohnung ist ein Bad mit Dusche.
der Herd -e,ডার হের্ড,চুলা,stove,Hier ist der Herd.
die Badewanne -n,ডি বাডেভানে,বাথটাব,bathtub,In der Wohnung ist ein Bad mit Badewanne.
der Teppich -e,ডার টেপিখ,কার্পেট,carpet,Der Teppich ist schön.
der Sessel -,ডার জেসেল,আরামকেদারা,armchair,Der Sessel ist schön.
die Möbel (Pl.),ডি ম্যোবেল,আসবাবপত্র,furniture,Die Möbel sind sehr schön.
das Gerät -e,ডাস গেরাট,যন্ত্র,device,Elektrogeräte: Kühlschrank, Fernseher, Lampe...
C2,ৎসে-ৎসুই,সি-টু,C2,C2
gefallen,গেফালেন,পছন্দ হওয়া,to like,Wie gefallen Ihnen die Stühle?
die Farbe -n,ডি ফারবে,রঙ,color,Die Farbe ist sehr schön.
finden,ফিন্ডেন,খুঁজে পাওয়া,to find,Das finde ich auch.
ganz,গানৎস,পুরোপুরি,quite,Wie gefällt dir die Lampe dort? - Ganz gut.
modern,মোডার্ন,আধুনিক,modern,Die Lampe ist sehr modern!
schwarz,শভারৎস,কালো,black,Meine Stühle sind schwarz.
grau,গ্রাউ,ধূসর,gray,Mein Kühlschrank ist grau.
weiß,ভাইস,সাদা,white,Mein Kühlschrank ist weiß.
grün,গ্র্যুন,সবুজ,green,Die Lampe ist grün.
braun,ব্রাউন,বাদামি,brown,Meine Stühle sind braun.
blau,ব্লাউ,নীল,blue,Mein Kühlschrank ist blau.
rot,রোট,লাল,red,Mein Kühlschrank ist rot.
gelb,গেলব,হলুদ,yellow,Der Teppich ist gelb.
hell- (+ Farbe),হেল,হালকা,light (color),Mein Kühlschrank ist hellrot.
dunkel- (+ Farbe),ডুঙ্কেল,গাঢ়,dark (color),Mein Kühlschrank ist dunkelrot.
4,ফিয়ার,চার,4,4
