German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
ich,ইখ,আমি,I,Ich bin Student.
heißen,হাইসেন,নাম হওয়া,to be called,Wie heißen Sie?
der Name -n,ডার নামে,নাম,name,Mein Name ist Max.
kommen,কমেন,আসা,to come,Woher kommen Sie?
Deutschland,ডয়চল্যান্ড,জার্মানি,Germany,Ich komme aus Deutschland.
sprechen,স্প্রেখেন,কথা বলা,to speak,Sie sprechen Deutsch.
(das) Deutsch,ডয়চ,জার্মান ভাষা,German language,Wir lernen Deutsch.
und,উন্ড,এবং,and,Ich und du
ein bisschen,আইন বিসচেন,একটু,a little bit,Ein bisschen Deutsch.
Guten Tag,গুটেন টাগ,শুভ দিন,good day,Guten Tag! Wie geht es Ihnen?
hallo,হ্যালো,হ্যালো,hello,Hallo! Wie geht's?
Auf Wiedersehen,আউফ ভিডারজেহেন,আবার দেখা হবে,goodbye,Auf Wiedersehen!
tschüs,চুস,বিদায়,bye,Tschüs! Bis morgen.
der Herr -en,ডার হের,জনাব,Mr./gentleman,Guten Tag, Herr Müller!
das Kind -er,ডাস কিন্ট,শিশু,child,Das Kind spielt.
Guten Abend,গুটেন আবেন্ড,শুভ সন্ধ্যা,good evening,Guten Abend!
die Dame -n,ডি ডামে,মহিলা,lady,Die Dame ist freundlich.
willkommen,ভিলকমেন,স্বাগতম,welcome,Willkommen in Deutschland!
bei,বাই,নিকটে/এ,at/near,Bei mir zu Hause.
die Musik (Sg.),ডি মুজিক,সঙ্গীত,music,Ich höre Musik.
international,ইন্টারন্যাশনাল,আন্তর্জাতিক,international,Das ist international.
Guten Morgen,গুটেন মর্গেন,শুভ সকাল,good morning,Guten Morgen!
die Frau -en,ডি ফ্রাউ,মহিলা,woman/lady,Die Frau ist Lehrerin.
danke,ডাঙ্কে,ধন্যবাদ,thank you,Danke schön!
Gute Nacht,গুতে নাখ্ট,শুভ রাত্রি,good night,Gute Nacht!
der Papa -S,ডার পাপা,বাবা,dad,Mein Papa ist Arzt.
