German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
Meine Familie,মাইন ফামিলিয়ে,আমার পরিবার,my family,Das ist meine Familie.
FOTO-HÖRGESCHICHTE,ফোটো-হ্যোরগেশিখতে,ছবি-শোনার গল্প,photo-listening story,FOTO-HÖRGESCHICHTE
lernen,লের্নেন,শেখা,to learn,Wir lernen Deutsch.
der Park -s,ডার পার্ক,পার্ক,park,Der Park ist schön.
die Pause -n,ডি পাউজে,বিরতি,break,Wir machen eine Pause.
die Familie -n,ডি ফামিলিয়ে,পরিবার,family,Meine Familie ist groß.
der Vater,ডার ফাটার,বাবা,father,Mein Vater ist Lehrer.
die Großeltern (Pl.),ডি গ্রোসেল্টার্ন,দাদা-দাদী,grandparents,Meine Großeltern sind alt.
die Mutter,ডি মুটার,মা,mother,Meine Mutter ist Ärztin.
die Eltern (Pl.),ডি এল্টার্ন,পিতামাতা,parents,Meine Eltern sind freundlich.
der Bruder -,ডার ব্রুডার,ভাই,brother,Mein Bruder ist Student.
die Geschwister (Pl.),ডি গেশভিস্টার,ভাইবোন,siblings,Wir sind drei Geschwister.
das Jahr -e,ডাস ইয়ার,বছর,year,Das Jahr hat zwölf Monate.
leben,লেবেন,বাঁচা,to live,Wo leben Sie?
in,ইন,মধ্যে,in,Wir leben in Berlin.
A1,এ-এক,এ-ওয়ান,A1 level,Wir lernen A1.
gut,গুট,ভাল,good,Das ist gut.
super,সুপার,চমৎকার,super,Super!
na ja,না ইয়া,আচ্ছা,well,Na ja, vielleicht.
ach,আখ,আহ,oh,Ach so!
SO,সো,এভাবে,so,So ist es.
sehr,জেহর,খুব,very,Das ist sehr gut.
der Enkel - / die Enkelin -nen,ডার এনকেল,নাতি,grandson/granddaughter,Mein Enkel ist klein.
die Tochter -,ডি টোখতার,মেয়ে,daughter,Meine Tochter ist Studentin.
der Sohn -e,ডার জোন,ছেলে,son,Mein Sohn ist Arzt.
die Schwester -n,ডি শভেস্টার,বোন,sister,Meine Schwester ist Lehrerin.
die Oma -s,ডি ওমা,দাদী,grandmother,Meine Oma ist alt.
der Mann *er,ডার মান,স্বামী/পুরুষ,husband/man,Mein Mann ist Ingenieur.
der Opa -s,ডার ওপা,দাদা,grandfather,Mein Opa ist freundlich.
dein-,ডাইন,তোমার,your (informal),Dein Vater
mein-,মাইন,আমার,my,Mein Name
Ihr-,ইয়ার,আপনার,your (formal),Ihr Name
