German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
nach Hause,নাখ হাউজে,বাড়িতে,home,Am Nachmittag kommt Lili nach Hause.
die Schule -en,ডি স্কুলে,বিদ্যালয়,school,Lili geht in die Schule.
A3,এ-ড্রাই,এ-থ্রি,A3,A3
können,ক্যোনেন,পারা,can,Kannst du Lili wecken?
krank,ক্রাঙ্ক,অসুস্থ,sick,Ich bin krank.
der Arzt -e / die Ärztin -nen,ডার আর্ট্স্ট,চিকিৎসক,doctor,Kannst du mit Jonas zum Arzt gehen?
backen,বাকেন,বেক করা,to bake,Luisa kann gut Kuchen backen.
singen,জিংগেন,গান গাওয়া,to sing,Ich kann gar nicht singen.
reiten,রাইটেন,ঘোড়ায় চড়া,to ride,Ich kann sehr gut reiten.
das Klavier -e,ডাস ক্লাভিয়ার,পিয়ানো,piano,Kannst du gut Klavier spielen?
malen,মালেন,আঁকা,to paint,Alba malt.
der Ski -er,ডার স্কি,স্কি,ski,Kannst du gut Ski fahren?
das Tennis (spielen) (Sg.),ডাস টেনিস,টেনিস,tennis,Kannst du gut Tennis spielen?
B,বে,বি,B,B
B1,বে-এক,বি-ওয়ান,B1,B1
wollen,ভোলেন,চাওয়া,to want,Ich will nicht zu spät kommen.
endlich,এন্ডলিখ,অবশেষে,finally,Willst du nicht endlich aufstehen?
B3,বে-ড্রাই,বি-থ্রি,B3,B3
das Lied -er,ডাস লিড,গান,song,Ich will Lieder singen.
üben,ইউবেন,অনুশীলন করা,to practice,Ich will viel Grammatik üben.
der Text -e,ডার টেক্স্ট,পাঠ্য,text,Ich will viele Texte lesen.
die Ubung -en,ডি উবুং,অনুশীলন,exercise,Ich will viele Übungen machen.
der Brief -e,ডার ব্রিফ,চিঠি,letter,Ich will Briefe schreiben.
das Diktat -e,ডাস ডিক্টাট,ডিক্টেশন,dictation,Ich will kein Diktat schreiben.
C,ৎসে,সি,C,C
C4,ৎসে-ফিয়ার,সি-ফোর,C4,C4
das Buch -ser,ডাস বুখ,বই,book,Ich habe ein Buch gelesen.
Clads Toth,ক্লাডস টথ,ক্লাডস টথ,Clads Toth,Clads Toth
Laostraße 3-7,লাওস্ট্রাসে,লাওস্ট্রাসে,Laostraße 3-7,Laostraße 3-7
0+105 Leipzig,লাইপৎসিগ,লাইপৎসিগ,0+105 Leipzig,0+105 Leipzig
