German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
neben,নেবেন,পাশে,next to/beside,Die Bank ist neben der Post.
über,উবার,উপর/দ্বারা,over/about/via,Das Bild hängt über dem Tisch.
unter,উন্টার,নিচে,under/below,Der Hund liegt unter dem Tisch.
zwischen,ৎসভিশেন,মধ্যে,between,Die Schule ist zwischen dem Park und der Kirche.
die Fußgängerzone -n,ডি ফুসগ্যাংগারৎসোনে,পদচারী অঞ্চল,pedestrian zone,In der Fußgängerzone darf man nicht fahren.
das Konzert -e,ডাস কনৎসের্ট,কনসার্ট,concert,Wir gehen heute Abend ins Konzert.
ausleihen (hat ausgeliehen),আউসলাইহেন,ধার নেওয়া,to borrow,Ich leihe mir ein Buch aus der Bibliothek aus.
kopieren (hat kopiert),কপিয়ারেন,কপি করা,to copy,Darf ich das kopieren?
(da) vorne,(ডা) ফর্নে,সামনে,(over) there in front,Vorne ist der Eingang.
(da) drüben,(ডা) ড্র্যুবেন,ওপারে,(over) there,Die Apotheke ist drüben.
die Ecke -n,ডি একে,কোণ/মোড়,corner,An der Ecke ist ein Café.
(da) hinten,(ডা) হিন্টেন,পিছনে,(back) there,Da hinten ist die Toilette.
abfahren (du fährst ab, er fährt ab) (ist abgefahren),আপফাহরেন,ছেড়ে যাওয়া,to depart,Der Zug fährt um 10 Uhr ab.
das Gleis -e,ডাস গ্লাইস,প্ল্যাটফর্ম লাইন,platform/track,Der Zug fährt auf Gleis 3 ab.
einsteigen (ist eingestiegen),আইনশ্টাইগেন,ওঠা (যানবাহনে),to get on/board,Bitte steigen Sie ein!
die Verspätung -en,ডি ফেরশ্পেটুং,বিলম্ব,delay,Der Zug hat zehn Minuten Verspätung.
ankommen (ist angekommen),আনকোমেন,পৌঁছানো,to arrive,Wann kommen wir an?
umsteigen (ist umgestiegen),উমশ্টাইগেন,গাড়ি বদল করা,to change (train/bus),Sie müssen in München umsteigen.
aussteigen (ist ausgestiegen),আউসশ্টাইগেন,নামা,to get off,Bitte steigen Sie aus!
die Abfahrt -en,ডি আপফার্ট,প্রস্থান,departure,Die Abfahrt ist um 14 Uhr.
die Ankunft -e,ডি আনকুন্ফ্ট,আগমন,arrival,Die Ankunft in Berlin ist um 18 Uhr.
der Anschluss -e,ডার আনশ্লুস,সংযোগ,connection,Wir verpassen den Anschluss.
der Bahnsteig -e,ডার বানশ্টাইগ,প্ল্যাটফর্ম,platform,Der Zug steht am Bahnsteig 2.
direkt,ডিরেক্ট,সরাসরি,direct,Es gibt eine direkte Verbindung.
