German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Wind -e,ডার ভিন্ট,বাতাস,wind,Ich finde Wind gut.
angenehm,আঙ্গেনেহম,সুখকর,pleasant,Wind ist angenehm.
B,বে,বি,B,B
B3,বে-ড্রাই,বি-থ্রি,B3,B3
die Speisekarte -n,ডি স্পাইজেকার্টে,মেনু,menu,Wo ist die Speisekarte?
der Hamburger -,ডার হামবুর্গার,হ্যামবার্গার,hamburger,Also, ich möchte einen Hamburger.
die Speise -n,ডি স্পাইজে,খাবার,dish,kleine Speisen: Hamburger, Currywurst, ...
die Pommes frites (Pommes) (Pl.),ডি পোমেস ফ্রিটেস,ফ্রেঞ্চ ফ্রাই,French fries,Ich möchte bitte Pommes und eine Currywurst.
die Portion -en,ডি পোর্টশন,পরিমাণ,portion,Ich möchte eine Portion Pommes.
der/ das Ketchup -s,ডার/ডাস কেচাপ,কেচাপ,ketchup,Ich möchte bitte Pommes mit Ketchup.
der Salat -e,ডার সালাট,সালাদ,salad,Ich möchte einen Salat.
der Schinken -,ডার শিনকেন,হ্যাম,ham,Ich möchte einen Salat mit Schinken und Ei.
das Getränk -e,ডাস গেট্র্যাঙ্ক,পানীয়,drink,Papa kauft die Getränke.
die Cola -s,ডি কোলা,কোলা,cola,Ich möchte eine Cola.
C,ৎসে,সি,C,C
C1,ৎসে-এক,সি-ওয়ান,C1,C1
doch,ডখ,তবে,yes (contradiction),- Doch.
C2,ৎসে-ৎসুই,সি-টু,C2,C2
lieber,লিবার,বরং,rather,Aber ich möchte lieber Käse.
nehmen,নেহমেন,নেওয়া,to take,Nimmst du keine Wurst?
warum,ভারুম,কেন,why,Warum nicht?
C3,ৎসে-ড্রাই,সি-থ্রি,C3,C3
der Hund -e,ডার হুন্ড,কুকুর,dog,Hast du einen Hund?
das Eis (Sg.),ডাস আইস,আইসক্রিম,ice cream,Ich möchte ein Eis.
D,ডি,ডি,D,D
D1,ডি-এক,ডি-ওয়ান,D1,D1
tanzen,টানৎসেন,নাচা,to dance,Ich tanze gern.
schwimmen,শভিমেন,সাঁতার কাটা,to swim,Ich schwimme viel.
treffen,ট্রেফেন,মিলিত হওয়া,to meet,Und ich treffe gern meine Freunde.
das Fahrrad -er,ডাস ফাররাড,সাইকেল,bicycle,Ich finde Fahrrad fahren super.
fahren,ফারেন,চালানো,to drive/ride,Im Sommer mache ich gern Sport: Wandern und Fahrrad fahren.
grillen,গ্রিলেন,গ্রিল করা,to grill,Im Sommer grille ich gern.
D2,ডি-ৎসুই,ডি-টু,D2,D2
die Freizeit (Sg.),ডি ফ্রাইট্সাইট,অবসর,free time,Was machst du gern in der Freizeit?
das Hobby -s,ডাস হবি,শখ,hobby,Was sind deine Hobbys?
