German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Vorname -n,ডার ভর্নামে,নামের প্রথম অংশ,first name,Mein Vorname ist Max.
der Familienname -n,ডার ফামিলিয়েনামে,পারিবারিক নাম,surname,Mein Familienname ist Müller.
die Straße -n,ডি স্ট্রাসে,রাস্তা,street,Meine Straße heißt Hauptstraße.
die Stadt *e,ডি স্টাট,শহর,city,Die Stadt ist groß.
das Land *er,ডাস ল্যান্ড,দেশ,country,Deutschland ist ein Land.
die E-Mail -s,ডি ই-মেইল,ইমেইল,email,Meine E-Mail ist...
das Telefon -e,ডাস টেলিফোন,টেলিফোন,telephone,Meine Telefonnummer ist...
das Formular -e,ডাস ফর্মুলার,ফর্ম,form,Bitte füllen Sie das Formular aus.
der Kurs -e,ডার কুর্স,কোর্স,course,Der Deutschkurs beginnt morgen.
die Fremdsprache -n,ডি ফ্রেম্ডস্প্রাখে,বিদেশি ভাষা,foreign language,Deutsch ist eine Fremdsprache.
die Anmeldung -en,ডি আনমেলডুং,নিবন্ধন,registration,Die Anmeldung ist hier.
die Postleitzahl -en,ডি পোস্টলাইটৎসাল,পোস্টাল কোড,postal code,Meine Postleitzahl ist 10115.
Polen,পোলেন,পোল্যান্ড,Poland,Polen ist ein Land.
die Türkei,ডি ট্যুরকাই,তুরস্ক,Turkey,Die Türkei ist schön.
Spanien,স্পানিয়েন,স্পেন,Spain,Spanien ist warm.
Ungarn,উঙ্গার্ন,হাঙ্গেরি,Hungary,Ungarn ist interessant.
Deutschland,ডয়চল্যান্ড,জার্মানি,Germany,Deutschland ist groß.
Österreich,অস্ট্রাইখ,অস্ট্রিয়া,Austria,Österreich ist schön.
Polnisch,পোলনিশ,পোলিশ,Polish,Polnisch ist schwer.
Türkisch,ট্যুরকিশ,তুর্কি,Turkish,Türkisch ist interessant.
Spanisch,স্পানিশ,স্প্যানিশ,Spanish,Spanisch ist leicht.
Ungarisch,উঙ্গারিশ,হাঙ্গেরিয়ান,Hungarian,Ungarisch ist schwierig.
Deutsch,ডয়চ,জার্মান,German,Deutsch lernen ist toll.
die Schweiz,ডি শভাইৎস,সুইজারল্যান্ড,Switzerland,Die Schweiz ist teuer.
Rumänien,রুমানিয়েন,রোমানিয়া,Romania,Rumänien ist schön.
Syrien,সিরিয়েন,সিরিয়া,Syria,Syrien ist weit.
Bulgarien,বুলগারিয়েন,বুলগেরিয়া,Bulgaria,Bulgarien ist interessant.
Italien,ইটালিয়েন,ইতালি,Italy,Italien ist warm.
Griechenland,গ্রিখেনল্যান্ড,গ্রিস,Greece,Griechenland ist schön.
Rumänisch,রুমানিশ,রোমানিয়ান,Romanian,Rumänisch ist schwer.
Arabisch,আরাবিশ,আরবি,Arabic,Arabisch ist interessant.
Bulgarisch,বুলগারিশ,বুলগেরিয়ান,Bulgarian,Bulgarisch ist schwierig.
Italienisch,ইটালিয়েনিশ,ইতালিয়ান,Italian,Italienisch ist leicht.
Griechisch,গ্রিখিশ,গ্রিক,Greek,Griechisch ist schwierig.
Vorname: Lorenzo Lucie Jürgen...,ভর্নামে,নামের প্রথম অংশ,first name examples,Vorname: Lorenzo, Lucie, Jürgen...
Familienname: Menardi Plank...,ফামিলিয়েনামে,পারিবারিক নাম,surname examples,Familienname: Menardi, Plank...
Straße: Hofgasse Bahnhofstraße...,স্ট্রাসে,রাস্তা,street examples,Straße: Hofgasse, Bahnhofstraße...
Stadt: Berlin Linz Schaan...,স্টাট,শহর,city examples,Stadt: Berlin, Linz, Schaan...
Land: Österreich Schweiz...,ল্যান্ড,দেশ,country examples,Land: Österreich, Schweiz...
E-Mail: I-eigner@dk.de,ই-মেইল,ইমেইল,email example,E-Mail: I-eigner@dk.de
Telefon: 041 227 11 00,টেলিফোন,টেলিফোন,telephone example,Telefon: 041 227 11 00
Ergänzen Sie das Formular.,এরগ্যাঞ্জেন,পূরণ করুন,fill out the form,Ergänzen Sie das Formular.
Kurs A1/1 Deutsch als Fremdsprache,কুর্স,কোর্স,course title,Kurs A1/1 Deutsch als Fremdsprache
Ich spreche eine Fremdsprache: Deutsch.,আমি একটি বিদেশি ভাষা বলি,আমি একটি বিদেশি ভাষা বলি,I speak a foreign language,Ich spreche eine Fremdsprache: Deutsch.
Kurs A1/1 Deutsch als Fremdsprache - Anmeldung,কুর্স নিবন্ধন,কোর্স নিবন্ধন,course registration,Kurs A1/1 Deutsch als Fremdsprache - Anmeldung
Die Postleitzahl ist 50676.,পোস্টাল কোড,পোস্টাল কোড,postal code example,Die Postleitzahl ist 50676.
