German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
ansehen,আনজেহেন,দেখা,to look at,hat angesehen,Wir können uns den Film ansehen.
das Bild,ডাস বিল্ড,ছবি,image/picture,,Das ist ein schönes Bild.
hören,হ্যোরেন,শোনা,to hear,hat gehört,Ich höre Musik.
noch einmal,নখ আইনমাল,আরেকবার,once more,,Lesen Sie bitte noch einmal.
ankreuzen,আনক্রয়ৎসেন,টিক চিহ্ন দেওয়া,to tick/check,hat angekreuzt,Kreuzen Sie die richtige Antwort an.
zuordnen,ৎসুওর্ডনেন,মিলানো,to match/assign,hat zugeordnet,Ordnen Sie die Wörter zu.
ergänzen,এরগ্যাঞ্জেন,পূরণ করা,to complete,hat ergänzt,Ergänzen Sie die Sätze.
machen,মাখেন,করা,to do/make,hat gemacht,Was machst du?
der Kurs,ডার কুর্স,কোর্স,course,,Der Deutschkurs beginnt morgen.
sprechen,স্প্রেখেন,কথা বলা,to speak,hat gesprochen,Wir sprechen Deutsch.
lesen,লেজেন,পড়া,to read,hat gelesen,Ich lese ein Buch.
das Gespräch,ডাস গেশপ্র্যাখ,আলোচনা,conversation,,Wir führen ein Gespräch.
spielen,স্পিলেন,খেলা,to play,hat gespielt,Die Kinder spielen Fußball.
suchen,জুখেন,খোঁজা,to search,hat gesucht,Ich suche meinen Schlüssel.
zeigen,ৎসাইগেন,দেখানো,to show,hat gezeigt,Zeigen Sie mir bitte den Weg.
fragen,ফ্রাগেন,জিজ্ঞাসা করা,to ask,hat gefragt,Er fragt nach dem Preis.
Was,ভাস,কী,what,,Was ist das?
markieren,মার্কিরেন,চিহ্নিত করা,to mark,hat markiert,Markieren Sie die richtige Antwort.
die,ডি,নির্দিষ্ট আর্টিকেল,the (feminine article),,Die Frau ist freundlich.
die Frage,ডি ফ্রাগে,প্রশ্ন,question,,Das ist eine gute Frage.
nachsprechen,নাখস্প্রেখেন,পুনরাবৃত্তি করা,to repeat,hat nachgesprochen,Sprachen Sie bitte nach.
raten,রাটেন,অনুমান করা,to guess,hat geraten,Raten Sie mal!
das Wort,ডাস ভর্ট,শব্দ,word,,Das ist ein neues Wort.
die Lektion,ডি লেকশন,পাঠ,lesson,,Wir lernen Lektion 5.
meinen,মাইনেন,মনে করা,to mean/think,hat gemeint,Ich meine, dass es richtig ist.
sagen,জাগেন,বলা,to say,hat gesagt,Was sagst du?
notieren,নোটিরেন,লিখে রাখা,to note down,hat notiert,Notieren Sie die Antworten.
vergleichen,ফেরগ্লাইখেন,তুলনা করা,to compare,hat verglichen,Vergleichen Sie die Bilder.
schreiben,শ্রাইবেন,লেখা,to write,hat geschrieben,Schreiben Sie einen Satz.
schacile,শাসিলে,শাসিলে,schacile (possibly misspelling),,
variieren,ভারিয়ারেন,বিভিন্ন করা,to vary,hat variiert,Wir können die Übung variieren.
erzählen,এরৎস্যাহলেন,বলা/বর্ণনা করা,to tell/narrate,hat erzählt,Erzählen Sie eine Geschichte.
arbeiten,আরবাইটেন,কাজ করা,to work,hat gearbeitet,Wir arbeiten zusammen.
zeichnen,ৎসাইখনেন,আঁকা,to draw,hat gezeichnet,Die Kinder zeichnen Bilder.
verbinden,ফেরবিন্ডেন,সংযুক্ত করা,to connect,hat verbunden,Verbinden Sie die Wörter.
die Antwort,ডি আন্টভর্ট,উত্তর,answer,,Das ist die richtige Antwort.
