German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
das Training -s,ডাস ট্রেইনিং,প্রশিক্ষণ,training,Er macht ein Training.
die Kleider (Pl.),ডি ক্লাইডার,জামাকাপড়,clothes,Er trägt schöne Kleider.
nähen (hat genäht),নেহেন,সেলাই করা,to sew,Sie näht ein Kleid.
die Reparatur -en,ডি রেপারাটুর,মেরামতি,repair,Die Reparatur dauert eine Woche.
duschen (hat geduscht),ডুশেন,গোসল করা,to shower,Ich dusche jeden Morgen.
die Aussage -n,ডি আউসজাগে,বিবৃতি,statement,Das ist eine wichtige Aussage.
der Techniker -,ডার টেকনিকার,প্রযুক্তিবিদ,technician,Der Techniker repariert den Drucker.
die Heizung -en,ডি হাইৎসুং,হিটিং,heating,Die Heizung funktioniert nicht.
der Drucker -,ডার ড্রুকার,প্রিন্টার,printer,Der Drucker ist kaputt.
das Modell -e,ডাস মোডেল,মডেল,model,Das ist ein neues Modell.
die Garantie -n,ডি গারান্টি,গ্যারান্টি,warranty,Die Garantie ist abgelaufen.
vorbeibringen (hat vorbeigebracht),ফরবাইব্রিংগেন,নিয়ে আসা,to bring over,Kannst du mir das vorbeibringen?
anmachen (hat angemacht),আনমাখেন,চালু করা,to turn on,Mach bitte das Licht an.
die Tür -en,ডি ট্যুর,দরজা,door,Die Tür ist offen.
zumachen (hat zugemacht),ৎসুমাখেন,বন্ধ করা,to close,Mach die Tür zu!
das Fenster -,ডাস ফেনস্টার,জানালা,window,Öffnen Sie das Fenster.
aufmachen (hat aufgemacht),আউফমাখেন,খোলা,to open,Mach die Flasche auf.
das Papier (Sg.),ডাস পাপিয়ার,কাগজ,paper,Ich brauche Papier.
das Licht (Sg.),ডাস লিখ্ট,আলো,light,Mach das Licht aus!
die Spülmaschine -n,ডি শ্পুলমাশিনে,ডিশওয়াশার,dishwasher,Die Spülmaschine ist kaputt.
empfehlen (du empfiehlst, er empfiehlt) (hat empfohlen),এম্পফেহলেন,সুপারিশ করা,to recommend,Ich empfehle dieses Restaurant.
reservieren (hat reserviert),রেজারভিয়ারেন,রিজার্ভ করা,to reserve,Wir haben einen Tisch reserviert.
