German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
helfen (hat geholfen),হেলফেন,সাহায্য করা,to help,Können Sie mir helfen?
die Auskunft -e,ডি আউস্কুন্ফ্ট,তথ্য/জিজ্ঞাসা,information/inquiry,Wo bekomme ich eine Auskunft?
die Erlaubnis (Sg.),ডি এরলাউবনিস,অনুমতি,permission,Ich brauche Ihre Erlaubnis.
die Erklärung -en,ডি এরক্ল্যাহরুং,ব্যাখ্যা,explanation,Bitte eine schriftliche Erklärung.
das Dokument -e,ডাস ডকুমেন্ট,নথি,document,Bringen Sie alle Dokumente mit.
das Geld (Sg.),ডাস গেল্ট,টাকা,money,Ich habe kein Geld.
genug,গেনুগ,যথেষ্ট,enough,Haben Sie genug Zeit?
das Einkommen -,ডাস আইনকোমেন,আয়,income,Was ist Ihr Einkommen?
die Reise -n,ডি রাইজে,ভ্রমণ,trip/journey,Die Reise war schön.
die Versicherung -en,ডি ফেরজিশেরুং,বীমা,insurance,Haben Sie eine Versicherung?
die Botschaft -en,ডি বোটশাফ্ট,দূতাবাস,embassy,Die Botschaft ist geschlossen.
das Visum - Visa,ডাস ভিজুম,ভিসা,visa,Ich brauche ein Visum.
holen (hat geholt),হোলেন,আনা/নিয়ে আসা,to fetch/to get,Ich hole den Pass.
der Mitarbeiter - / die Mitarbeiterin -nen,ডার মিটারবাইটার / ডি মিটারবাইটারিন,কর্মী/সহকর্মী,employee/colleague,Er ist Mitarbeiter bei der Firma.
der Beamte -n / die Beamtin -nen,ডার বেয়াম্টে / ডি বেয়াম্টিন,কর্মকর্তা,civil servant/official,Der Beamte prüft die Papiere.
verdienen (hat verdient),ফেরডিনেন,আয় করা,to earn,Er verdient gut.
der Pass -e,ডার পাস,পাসপোর্ট,passport,Wo ist mein Pass?
reisen,রাইজেন,ভ্রমণ করা,to travel,Er reist nach Deutschland.
Ämter und Behörden,এম্টার উন্ড বেহ্যোর্ডেন,দপ্তর ও কর্তৃপক্ষ,offices and authorities,Ämter und Behörden sind montags geöffnet.
einen Führerschein beantragen,আইনেন ফ্যুরারশাইন বেআন্ট্রাগেন,ড্রাইভিং লাইসেন্সের জন্য আবেদন করা,to apply for a driving license,Er will einen Führerschein beantragen.
einen Antrag ausfüllen,আইনেন আন্ট্রাগ আউসফুলেন,আবেদন পূরণ করা,to fill out an application,Bitte füllen Sie den Antrag aus.
den Ausweis mitbringen,ডেন আউসভাইস মিটব্রিংগেন,পরিচয়পত্র নিয়ে আসা,to bring ID card,Bringen Sie bitte Ihren Ausweis mit.
den Pass mitbringen,ডেন পাস মিটব্রিংগেন,পাসপোর্ট নিয়ে আসা,to bring passport,Vergessen Sie nicht, den Pass mitzubringen.
viele Papiere mitbringen,ভিলে পাপিয়ারে মিটব্রিংগেন,অনেক কাগজপত্র নিয়ে আসা,to bring many documents,Sie müssen viele Papiere mitbringen.
