German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
das Geschenk -e,ডাস গেশ্যাঙ্ক,উপহার,gift/present,Wir brauchen noch ein Geschenk.
(sich) lieben (hat geliebt),লিবেন,ভালোবাসা,to love,Ich liebe dich.
wunderbar,ভুন্ডারবার,চমৎকার,wonderful,Wirklich? Wunderbar!
der Nachtisch -e,ডার নাখটিশ,ডেজার্ট,dessert,Wir müssen noch den Nachtisch machen.
putzen (hat geputzt),পুট্সেন,পরিষ্কার করা,to clean,Wir müssen noch das Bad putzen.
der Laptop -s,ডার ল্যাপটপ,ল্যাপটপ,laptop,Mein Laptop ist kaputt.
schmutzig,শ্মুট্সিগ,নোংরা,dirty,Meine Bluse ist schmutzig.
waschen (hat gewaschen),ভাশেন,ধোয়া,to wash,Kannst du sie bitte waschen?
der Großvater -,ডার গ্রোসফাটার,দাদা,grandfather,Mein Großvater wohnt in Berlin.
die Großmutter -,ডি গ্রোসমুটার,দাদি,grandmother,Die Großmutter kocht gut.
die Feier -n,ডি ফাইয়ার,উৎসব,celebration,Die Feier beginnt um 18 Uhr.
organisieren (hat organisiert),ওর্গানিজিয়ারেন,সংগঠিত করা,to organize,Wer organisiert die Party?
Bescheid geben,বেশাইট গেবেন,খবর দেওয়া,to let someone know,Gib mir Bescheid!
die Einladung -en,ডি আইনলাডুং,নিমন্ত্রণ,invitation,Er hat die Einladung bekommen.
der Flug -e,ডার ফ্লুগ,ফ্লাইট,flight,Der Flug geht um 10 Uhr.
werden (du wirst, er wird) (ist geworden),ভের্ডেন,হওয়া,to become,Er wird Arzt.
einladen (du lädst ein, er lädt ein) (hat eingeladen),আইনলাডেন,আমন্ত্রণ করা,to invite,Er lädt uns zum Essen ein.
sich freuen (hat sich gefreut),জিখ ফ্রয়েন,খুশি হওয়া,to be glad,Ich freue mich auf dich.
das Fest -e,ডাস ফেশ্ট,উৎসব,festival/celebration,Das Fest war schön.
