German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
oben,ওবেন,উপরে,above/upstairs,,Die Bücher sind oben.
der Essig (Sg.),ডার এসিগ,ভিনেগার,vinegar,,Reinigen Sie mit Essig.
die Taste -n,ডি টাস্টে,বাটন,key/button,,Drücken Sie die Taste.
die Sekunde -n,ডি জেকুন্ডে,সেকেন্ড,second,,Warten Sie fünf Sekunden.
die Jacke -n,ডি ইয়াকে,জ্যাকেট,jacket,,Die Jacke passt gut.
der Mantel -,ডার মান্টেল,কোট,coat,,Mantel anziehen – es ist kalt.
dünn,ড্যুন,পাতলা,thin,,Das Papier ist sehr dünn.
passen (hat gepasst),পাসেন,মাপসই হওয়া,to fit,gepasst,Die Hose passt mir nicht.
weit,ভাইট,প্রশস্ত/দূরে,wide/far,,Das ist noch weit.
die Kleidung (Sg.),ডি ক্লাইডুং,পোশাক,clothing,,Die Kleidung ist im Schrank.
die Bluse -n,ডি ব্লুজে,ব্লাউজ,blouse,,Sie trägt eine weiße Bluse.
das T-Shirt -s,ডাস টি-শার্ট,টি-শার্ট,T-shirt,,Er hat ein neues T-Shirt.
der Schuh -e,ডার শু,জুতা,shoe,,Die Schuhe sind zu klein.
die Hose -n,ডি হোজে,প্যান্ট,trousers/pants,,Die Hose ist blau.
der Rock -e,ডার রক,স্কার্ট,skirt,,Sie trägt einen Rock.
das Kleid -er,ডাস ক্লাইড,পোশাক/গাউন,dress,,Sie hat ein schönes Kleid an.
der Stiefel -,ডার শ্টিফেল,বুট,boot,,Im Winter trägt er Stiefel.
der Pullover -,ডার পুলোভার,পুলওভার,pullover/jumper,,Der Pullover ist aus Wolle.
die Socke -n,ডি জোকে,মোজা,sock,,Er braucht neue Socken.
der Strumpf -e,ডার শ্ট্রুম্পফ,স্টকিং,stocking,,Sie trägt Strümpfe.
die Jeans (Sg. oder Pl.),ডি জিন্স,জিন্স,jeans,,Er trägt eine blaue Jeans.
das Tuch -er,ডাস টুখ,কাপড়/রুমাল,cloth/towel,,Ein Tuch zum Abtrocknen bitte.
