German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Gesundheit (Sg.),ডি গেজুন্ডহাইট,স্বাস্থ্য,health,Zur Gesundheit!
der Schnupfen (Sg.),ডার শ্নুপফেন,সর্দি,cold (illness),Er hat Schnupfen.
tun (hat getan),টুন,করা,to do,Was soll ich tun?
der Absender -,ডার আপজেন্ডার,প্রেরক,sender,Wer ist der Absender?
der Ort -e,ডার ওর্ট,স্থান,place/location,An welchem Ort?
der Empfänger -,ডার এম্পফ্যাংগার,প্রাপক,receiver/recipient,Wer ist der Empfänger?
die Anrede -n,ডি আনরেডে,সম্বোধন,salutation/greeting,Die Anrede lautet „Sehr geehrte“.
das Datum (Sg.),ডাস ডাটুম,তারিখ,date,Was ist das Datum heute?
die Unterschrift -en,ডি উন্টারশ্রিফ্ট,স্বাক্ষর,signature,Bitte Ihre Unterschrift hier.
schicken (hat geschickt),শিকেন,পাঠানো,to send,Ich schicke einen Brief.
die Sprechstunde -n,ডি শ্প্রেখশ্টুন্ডে,কনসাল্টেশন ঘণ্টা,office hours/consultation hours,Wann ist die Sprechstunde?
der Notfall -e,ডার নোটফাল,জরুরি অবস্থা,emergency,Im Notfall rufen Sie 112.
in der Nähe,ইন ডার ন্যাহে,কাছে,nearby,Die Apotheke ist in der Nähe.
die Minute -n,ডি মিনুটে,মিনিট,minute,Eine Minute bitte!
in Ordnung,ইন ওর্ডনুং,ঠিক আছে,okay/all right,Alles in Ordnung?
vorbeikommen (ist vorbeigekommen),ফরবাইকোমেন,দেখা করতে আসা,to come by/to visit,Kann er morgen vorbeikommen?
die Versichertenkarte -n,ডি ফেরজিশের্টেনকার্টে,বীমা কার্ড,insurance card,Haben Sie Ihre Versichertenkarte?
der Boden -,ডার বোডেন,মেঝে/জমি,floor/ground,Der Boden ist nass.
liegen (hat gelegen),লিগেন,শুয়ে থাকা/অবস্থিত থাকা,to lie/to be located,Das Buch liegt auf dem Tisch.
der Notarzt -e,ডার নোটআর্ট্সট,জরুরি ডাক্তার,emergency doctor,Rufen Sie den Notarzt!
stark,শ্টার্ক,শক্তিশালী,strong,Der Schmerz ist stark.
die Hilfe (Sg.),ডি হিলফে,সাহায্য,help/assistance,Ich brauche Hilfe!
plötzlich,প্ল্যুট্স্লিশ,হঠাৎ,suddenly,Plötzlich wurde es dunkel.
passieren (ist passiert),পাসিরেন,ঘটা,to happen,Was ist passiert?
das Medikament -e,ডাস মেডিকামেন্ট,ওষুধ,medication/medicine,Nehmen Sie das Medikament dreimal täglich.
