German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
das Ausland (Sg.),ডাস আউসল্যান্ড,বিদেশ,foreign country,Er arbeitet im Ausland.
ander-,আন্ডার,অন্য,other,Er hat einen anderen Job.
der Arbeitsplatz -e,ডার আরবাইটসপ্লাৎৎস,কর্মক্ষেত্র,workplace,Er hat einen neuen Arbeitsplatz.
der Traum -e,ডার ট্রাউম,স্বপ্ন,dream,Das ist mein Traumjob.
Traum -,ট্রাউম,স্বপ্ন,dream,Traumjob
tagsüber,টাগস্যুবার,দিনের বেলা,during the day,Tagsüber arbeitet er.
dreimal,ড্রাইমাল,তিনবার,three times,Er geht dreimal pro Woche.
bekommen (hat bekommen),বেকোমেন,পাওয়া,to get/receive,Er bekommt ein Gehalt.
der Sekretär -e / die Sekretärin -nen,ডার সেক্রেটার,সচিব,secretary,der Sekretär / die Sekretärin
die Universität -en,ডি উনিভার্সিটেট,বিশ্ববিদ্যালয়,university,Er studiert an der Universität.
befristet,বেফ্রিস্টেট,সীমিত সময়ের,limited term,Er hat einen befristeten Vertrag.
die Vollzeit (Sg.),ডি ভোলৎসাইট,পূর্ণকালীন,full-time,Er arbeitet in Vollzeit.
die Teilzeit (Sg.),ডি টাইলৎসাইট,খণ্ডকালীন,part-time,Sie arbeitet in Teilzeit.
ganztags,গানৎসটাগস,সারাদিন,full day,Er arbeitet ganztags.
halbtags,হালবটাগস,অর্ধেক দিন,half day,Sie arbeitet halbtags.
vormittags,ভর্মিট্টাগস,সকালে,in the morning,Vormittags hat er Unterricht.
nachmittags,নাখমিট্টাগস,বিকালে,in the afternoon,Nachmittags arbeitet er.
die Nachhilfe (Sg.),ডি নাখহিলফে,টিউশন,tutoring,Er gibt Nachhilfe.
montags,মোন্টাগস,সোমবারে,on Mondays,Montags hat er frei.
donnerstags,ডোনার্স্টাগস,বৃহস্পতিবারে,on Thursdays,Donnerstags geht er zum Deutschkurs.
Senioren (Pl.),সেনিওরেন,বয়স্ক ব্যক্তি,seniors,Er arbeitet mit Senioren.
Senioren-,সেনিওরেন,বয়স্ক,senior,Seniorenbetreuung
die Aushilfe -n,ডি আউশিলফে,অস্থায়ী সহায়ক,temporary help,Er sucht eine Aushilfe.
dringend,ড্রিংগেন্ট,জরুরি,urgent,Er braucht dringend Hilfe.
