German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
früh,ফ্র্যু,সকালে,early,Stehst du gern früh auf?
A1,এ-এক,এ-ওয়ান,A1,A1
der Supermarkt -e,ডার সুপারমার্ক্ট,সুপারমার্কেট,supermarket,Sie kauft im Supermarkt ein.
A2,এ-ৎসুই,এ-টু,A2,A2
fernsehen,ফের্নজেহেন,টিভি দেখা,to watch TV,Sie sieht fern.
mit,মিট,সাথে,with,Sie frühstückt mit Lara und Lili.
arbeiten,আরবাইটেন,কাজ করা,to work,Sofia arbeitet sehr viel und ist am Abend müde.
lange,লাংগে,দীর্ঘক্ষণ,for a long time,Sie arbeitet lange.
spielen,স্পিলেন,খেলা,to play,Sie spielt mit Lili.
essen,এসেন,খাওয়া,to eat,Sofia isst mit Lara und Lili.
A3,এ-ড্রাই,এ-থ্রি,A3,A3
gern,গের্ন,আনন্দের সাথে,gladly/with pleasure,Stehst du gern früh auf?
B,বে,বি,B,B
B1,বে-এক,বি-ওয়ান,B1,B1
spät,স্পাট,দেরিতে,late,spät
schon,শোন,ইতিমধ্যে,already,Ist es schon zwölf?
erst,এর্স্ট,শুধু,only,Es ist erst elf.
das Viertel -,ডাস ফিয়ার্টেল,পনেরো মিনিট,quarter,Es ist Viertel vor zwölf.
vor,ভোর,আগে,before,Es ist Viertel vor zwölf.
B3,বে-ড্রাই,বি-থ্রি,B3,B3
nach,নাখ,পরে,after,Es ist Viertel nach eins.
halb,হালব,আধা,half,Es ist halb zwei.
die Uhr -en,ডি উর,ঘড়ি,clock/watch,Es ist ein Uhr.
kurz,কুর্ট্স,সংক্ষিপ্ত,short,Es ist kurz vor zwölf.
gleich,গ্লাইখ,এখনই,right away,Es ist gleich zwölf.
C,ৎসে,সি,C,C
C1,ৎসে-এক,সি-ওয়ান,C1,C1
der Intensivkurs -e,ডার ইন্টেনসিভকুর্স,নিবিড় কোর্স,intensive course,Ich mache einen Intensivkurs.
anfangen,আনফাংগেন,শুরু করা,to begin,Der Deutschkurs fängt morgen an.
am,আম,এ,on/at,Ich mache am Freitag einen Intensivkurs.
der Montag -e,ডার মোন্টাগ,সোমবার,Monday,Fangen die Kurse am Montag an?
der Freitag -e,ডার ফ্রাইটাগ,শুক্রবার,Friday,Was machst du am Freitag?
der Donnerstag -e,ডার ডোনার্স্টাগ,বৃহস্পতিবার,Thursday,Was machst du am Donnerstag?
der Mittwoch -e,ডার মিটভোখ,বুধবার,Wednesday,Was macht Tim am Mittwoch?
der Dienstag -e,ডার ডিন্স্টাগ,মঙ্গলবার,Tuesday,Nein, erst am Dienstag.
wann,ভান,কখন,when,Wann fängt der Deutschkurs an?
um,উম,এ,at,Um halb neun.
