German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
machen,মাখেন,করা,to do/make,Lara macht eine Präsentation.
die Präsentation -en,ডি প্রেজেন্টেশন,উপস্থাপনা,presentation,Lara macht eine Präsentation.
frühstücken,ফ্র্যুস্টুকেন,সকালের নাস্তা করা,to have breakfast,Lara, Sofia und Lili frühstücken zusammen.
einkaufen,আইনকাউফেন,কেনাকাটা করা,to shop,Lara kauft ein.
hören,হ্যোরেন,শোনা,to hear/listen,Lara hört Musik.
kochen,কখেন,রান্না করা,to cook,Lara kocht das Abendessen.
spazieren gehen,স্পাটসিয়ারেন গেহেন,হাঁটতে যাওয়া,to go for a walk,Lara geht spazieren.
aufraumen,আউফরাউমেন,পরিষ্কার করা,to tidy up,Lara räumt die Küche auf.
aufstehen,আউফস্টেহেন,ওঠা,to get up,Lara steht um Viertel nach sieben auf.
gehen,গেহেন,যাওয়া,to go,Lara geht zum Deutschkurs.
oder,ওডার,অথবা,or,Lara geht am Nachmittag spazieren oder kauft ein.
müde,ম্যুডে,ক্লান্ত,tired,Sofia ist am Abend müde.
anrufen,আনরুফেন,ফোন করা,to call,Lara ruft ihre Familie an.
15,ফুন্ফৎসেন,পনেরো,15,15
A1,এ-এক,এ-ওয়ান,A1,A1
das Regal -e,ডাস রেগাল,তাক,shelf,das Regal
A2,এ-ৎসুই,এ-টু,A2,A2
die Lampe -n,ডি লাম্পে,বাতি,lamp,die Lampe
der Tisch -e,ডার টিশ,টেবিল,table,der Tisch
der Stuhl *e,ডার স্টুল,চেয়ার,chair,der Stuhl
A3,এ-ড্রাই,এ-থ্রি,A3,A3
B1,বে-এক,বি-ওয়ান,B1,B1
