German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Ehemann *er / die Ehefrau -en,ডার এহেমান,স্বামী/স্ত্রী,husband/wife,Mein Ehemann ist Arzt.
falsch,ফালশ,ভুল,wrong,Das ist falsch.
sie (Singular),জি,সে (নারী),she,Sie ist Studentin.
zusammen,ৎসুসমেন,একসাথে,together,Wir arbeiten zusammen.
sie (Plural),জি,তারা,they,Sie sind Freunde.
geschieden,গেশিডেন,তালাকপ্রাপ্ত,divorced,Sie sind geschieden.
er,এর,সে (পুরুষ),he,Er ist Lehrer.
wohnen,ভোনেন,থাকা,to live/reside,Wo wohnen Sie?
jetzt,ইয়েট্স্ট,এখন,now,Jetzt wohne ich hier.
ihr,ইয়ার,তোমাদের,your (plural),Ihr seid Freunde.
wir,ভির,আমরা,we,Wir sind Studenten.
D,ডি,ডি,D,D
die Zahl -en,ডিৎসাল,সংখ্যা,number,Die Zahl ist groß.
WO,ভো,কোথায়,where,Wo sind Sie?
geboren,গেবোরেন,জন্মগ্রহণ করা,born,Wo sind Sie geboren?
die Nummer -n,ডি নুমার,নম্বর,number,Meine Telefonnummer ist...
verheiratet,ফেরহাইরাটেট,বিবাহিত,married,Ich bin verheiratet.
haben,হাবেন,থাকা,to have,Haben Sie Kinder?
der Geburtsort -e,ডার গেবুর্টসর্ট,জন্মস্থান,place of birth,Mein Geburtsort ist Berlin.
der Wohnort -e,ডার ভোনর্ট,বাসস্থান,place of residence,Mein Wohnort ist Hamburg.
der Familienstand (Sg.),ডার ফামিলিয়েনস্ট্যান্ড,পারিবারিক অবস্থা,marital status,Mein Familienstand ist ledig.
ledig,লেডিগ,অবিবাহিত,single,Ich bin ledig.
verwitwet,ফেরভিটভেট,বিধবা/বিধুর,widowed,Sie ist verwitwet.
das Alter -,ডাস আল্টার,বয়স,age,Mein Alter ist 25.
E,এ,ই,E,E
der Norden (Sg.),ডার নর্ডেন,উত্তর,north,Hamburg ist im Norden.
der Osten (Sg.),ডার অস্টেন,পূর্ব,east,Leipzig ist im Osten.
der Süden (Sg.),ডার জুডেন,দক্ষিণ,south,München ist im Süden.
der Westen (Sg.),ডার ভেস্টেন,পশ্চিম,west,Köln ist im Westen.
die Hauptstadt *e,ডি হাউপ্টস্টাট,রাজধানী,capital,Berlin ist die Hauptstadt von Deutschland.
