German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
sein,জাইন,হওয়া,to be,Ich bin Student.
die Entschuldigung -en,ডি এন্টশুলডিগুং,ক্ষমা,apology/excuse,Entschuldigung!
wie,ভি,কীভাবে,how,Wie geht es Ihnen?
Sie,জি,আপনি,you (formal),Wie heißen Sie?
wer,ভের,কে,who,Wer sind Sie?
ja nein,ইয়া নাইন,হ্যাঁ না,yes no,Ja oder nein?
woher,ভোহের,কোথা থেকে,where from,Woher kommen Sie?
aus,আউস,থেকে,from,aus Deutschland
du,ডু,তুমি,you (informal),Wie heißt du?
Österreich,অস্ট্রাইখ,অস্ট্রিয়া,Austria,Ich komme aus Österreich.
die Schweiz,ডি শভাইৎস,সুইজারল্যান্ড,Switzerland,Die Schweiz ist schön.
aha,আহা,আহা,aha,Aha, verstehe!
toll,টল,দারুণ,great,Toll!
interessant,ইন্টারেসান্ট,আকর্ষণীয়,interesting,Das ist interessant.
was,ভাস,কী,what,Was ist das?
auch,আউখ,এছাড়াও,also,Ich auch.
die Sprache -n,ডি স্প্রাখে,ভাষা,language,Deutsch ist eine Sprache.
das Buch,ডাস বুখ,বই,book,Das ist ein Buch.
der Buchstabe -n,ডার বুখস্টাবে,বর্ণ,letter,Der Buchstabe A.
das Alphabet (Sg.),ডাস আলফাবেট,বর্ণমালা,alphabet,Das deutsche Alphabet.
Wie bitte?,ভি বিটে,কী বললেন?,pardon?,Wie bitte? Können Sie wiederholen?
buchstabieren,বুখস্টাবিয়ারেন,বানান করা,to spell,Buchstabieren Sie bitte.
K-O-S-...,ক-ও-স,বানান,spelling,Mein Name: K-O-S-T-A.
bitte,বিটে,অনুগ্রহ করে,please,Bitte schön!
die Firma Firmen,ডি ফিরমা,কোম্পানি,company,Meine Firma ist groß.
Vielen Dank,ভিলেন ডাঙ্ক,অনেক ধন্যবাদ,many thanks,Vielen Dank!
Auf Wiederhören,আউফ ভিডারহ্যোরেন,ফোনে আবার কথা হবে,goodbye (phone),Auf Wiederhören!
die Adresse -n,ডি অ্যাড্রেসে,ঠিকানা,address,Meine Adresse ist...
die Visitenkarte -n,ডি ভিজিটেনকার্টে,বিজনেস কার্ড,business card,Das ist meine Visitenkarte.
