German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Preis -e,ডার প্রাইস,দাম,price,Preis: 2,45 Euro.
der Cent (Sg.),ডার সেন্ট,সেন্ট,cent,Das macht 2 Euro und 45 Cent.
D3,ডি-ড্রাই,ডি-থ্রি,D3,D3
der Prospekt -e,ডার প্রোস্পেক্ট,বিজ্ঞাপন পত্র,prospectus/flyer,Sehen Sie den Prospekt an.
das Sonderangebot -e,ডাস জন্ডারআঙ্গেবোট,বিশেষ অফার,special offer,Heute im Sonderangebot: Brötchen 945 € 0,39 €
Brötchen 945 € 0,39 €,ব্রোটখেন,রুটি,rolls,Brötchen 945 € 0,39 €
Apfelkuchen Д99 € 1,39 €,আপফেলকুখেন,আপেল কেক,apple cake,Apfelkuchen Д99 € 1,39 €
das Lebensmittel -,ডাস লেবেন্সমিটেল,খাদ্যদ্রব্য,food item,Lebensmittel: Milch, Brot, Eier...
wie viel,ভি ফিল,কত,how much,Wie viel kostet ein Brot?
kosten,কস্টেন,দাম হওয়া,to cost,Ein Brot kostet 2,49 €.
das Kilo(gramm) (kg) (Sg.),ডাস কিলো,কিলোগ্রাম,kilogram,Wie viel kostet ein Kilo Orangen?
das Gramm (g) (Sg.),ডাস গ্রাম,গ্রাম,gram,Was kosten 100 Gramm Käse?
das Pfund (Sg.),ডাস পফুন্ড,পাউন্ড,pound,Wie viel kostet ein Pfund Äpfel?
der Liter () -,ডার লিটার,লিটার,liter,Ein Liter Milch kostet 75 Cent.
die Flasche -n,ডি ফ্লাশে,বোতল,bottle,Eine Flasche Saft kostet 1,09 €.
die Dose -n,ডি ডোজে,টিন,can,Eine Dose Tomaten kostet 0,49 €.
die Sahne (Sg.),ডি জাহনে,ক্রিম,cream,Ein Becher Sahne kostet 39 Cent.
die Wurst -e,ডি ভুর্স্ট,সসেজ,sausage,100 Gramm Wurst kosten 2,29 €.
das Hackfleisch (Sg.),ডাস হাকফ্লাইশ,কিমা মাংস,minced meat,Wie viel kostet ein Kilo Hackfleisch?
E,এ,ই,E,E
E1,এ-এক,ই-ওয়ান,E1,E1
der Verkäufer - / die Verkäuferin -nen,ডার ফেরকাউফার,বিক্রেতা,seller,Ich bin Verkäufer.
der Kunde -n/ die Kundin -nen,ডার কুন্ডে,ক্রেতা,customer,Ich bin Kunde.
noch,নখ,এখনও,still/yet,Ich brauche auch noch Apfel.
all-,আল,সব,all,Das ist alles.
E2,এ-ৎসুই,ই-টু,E2,E2
möchten,ম্যোখটেন,চাওয়া,would like,Ich möchte Birnen.
finden,ফিন্ডেন,খুঁজে পাওয়া,to find,Wo finde ich Spinat?
der Laden,ডার লাডেন,দোকান,shop,Im Obstladen: 3 Birnen kosten 1,40 €.
das Obst (Sg.),ডাস ওবস্ট,ফল,fruit,Sie möchten Obst kaufen: 3 Birnen, 2 Äpfel.
das Gemüse -,ডাস গেমুজে,শাকসবজি,vegetables,Sie möchten Gemüse kaufen: 1 Kilo Lauch, 1 Pfund Spinat.
die Bäckerei -en,ডি বেকারাই,বেকারি,bakery,In der Bäckerei: Ein Brötchen kostet 0,30 €.
LEKTION 3 LWS 9,লেকশন,পাঠ,lesson,LEKTION 3 LWS 9
