German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Schüler - / die Schülerin -nen,ডার শ্যুলার,ছাত্র/ছাত্রী,school student,der Schüler / die Schülerin
der Student -en/ die Studentin -nen,ডার স্টুডেন্ট,বিশ্ববিদ্যালয়ের ছাত্র,university student,der Student / die Studentin
studieren (hat studiert),স্টুডিয়ারেন,অধ্যায়ন করা,to study,Er studiert Medizin.
der Job -s,ডার জব,চাকরি,job,Er hat einen neuen Job.
die Stelle -n,ডি স্টেলে,পদ,position,Er sucht eine neue Stelle.
selbstständig,জেল্বস্ট্যান্ডিগ,স্বাধীন,self-employed,Er ist selbstständig.
berufstätig,বেরুফটাটিগ,পেশাগতভাবে কর্মরত,employed,Sie ist berufstätig.
arbeitslos,আরবাইটসলোস,বেকার,unemployed,Er ist arbeitslos.
zurzeit,ৎসুরৎসাইট,বর্তমানে,currently,Zurzeit ist er arbeitslos.
der Taxifahrer - / die Taxifahrerin -nen,ডার ট্যাক্সিফারার,ট্যাক্সি চালক,taxi driver,der Taxifahrer / die Taxifahrerin
B,বে,বি,B,B
dauern (hat gedauert),ডাউয়ার্ন,স্থায়ী হওয়া,to last,Der Kurs dauert drei Monate.
B2,বে-ৎসুই,বি-টু,B2,B2
seit,জাইট,থেকে,since,Er arbeitet seit einem Jahr hier.
B3,বে-ড্রাই,বি-থ্রি,B3,B3
die Bewerbung -en,ডি বেভারবুং,আবেদন,application,Er schreibt eine Bewerbung.
das Praktikum Praktika,ডাস প্রাক্টিকুম,ইন্টার্নশিপ,internship,Er macht ein Praktikum.
die Abteilung -en,ডি আবটাইলুং,বিভাগ,department,Er arbeitet in der IT-Abteilung.
der Leiter - / die Leiterin -nen,ডার লাইটার,প্রধান,head/manager,der Leiter / die Leiterin
geehrt,গেহার্ট,সম্মানিত,honored,Sehr geehrte Damen und Herren.
die Wirtschaft (Sg.),ডি ভির্টশাফ্ট,অর্থনীতি,economy,Die deutsche Wirtschaft ist stark.
das Diplom -e,ডাস ডিপ্লোম,ডিপ্লোমা,diploma,Er hat ein Diplom in Informatik.
gerade,গেরাডে,এখনই,just/right now,Gerade ist er im Büro.
das Büro -s,ডাস ব্যুরো,অফিস,office,Er arbeitet im Büro.
