German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Durchsage -n,ডি ডুর্খজাগে,ঘোষণা,announcement,Die Durchsage war auf Deutsch.
der Schalter -,ডার শাল্টার,কাউন্টার/উইন্ডো,counter/window,Am Schalter können Sie die Fahrkarte kaufen.
hin und zurück,হিন উন্ড ৎসুর্যুক,আগে ও ফিরে,there and back,Eine Fahrkarte hin und zurück, bitte.
der Fahrplan -e,ডার ফারপ্লান,সময়সূচি,timetable,Wo ist der Fahrplan?
das Museum,ডাস মুজেয়াম,যাদুঘর,museum,Wir besuchen das Museum.
der Bahnhof -e,ডার বানহোফ,রেল স্টেশন,railway station,Wo ist der Bahnhof?
die Straße -n,ডি শ্ট্রাসে,রাস্তা,street,Die Straße ist sehr lang.
die Post,ডি পোস্ট,ডাকঘর,post office,Ich gehe zur Post.
die Tankstelle -n,ডি টাংকশ্টেলে,পেট্রল পাম্প,gas station,Wo ist die nächste Tankstelle?
die Tasche -n,ডি টাশে,ব্যাগ,bag,Meine Tasche ist schwer.
die Tüte -n,ডি ট্যুটে,থলে,bag (paper/plastic),Eine Tüte bitte!
die Rechnung -en,ডি রেখনুং,বিল,bill/invoice,Bitte die Rechnung!
kaputt,কাপুট,ভাঙা,broken,Mein Handy ist kaputt.
reparieren (hat repariert),রেপারিয়ারেন,মেরামত করা,to repair,Er repariert das Auto.
sauer,জাউয়ার,খিটখিটে/টক,sour/cross,Er ist sauer.
unfreundlich,উনফ্রয়ন্ড্লিশ,অমিশুক,unfriendly,Der Verkäufer war unfreundlich.
normal,নরমাল,স্বাভাবিক,normal,Das ist ganz normal.
das Heimatland -er,ডাস হাইমাটলান্ট,মাতৃভূমি,homeland,Deutschland ist mein Heimatland.
