German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Service (Sg.),ডার সার্ভিস,সেবা,service,Der Service ist gut.
abends,আবেন্ডস,সন্ধ্যায়,in the evening,Abends geht er ins Fitnessstudio.
dienstags,ডিন্স্টাগস,মঙ্গলবারে,on Tuesdays,Dienstags hat er einen Termin.
mittwochs,মিটভোখস,বুধবারে,on Wednesdays,Mittwochs arbeitet er von zu Hause.
freitags,ফ্রাইটাগস,শুক্রবারে,on Fridays,Freitags geht er früher nach Hause.
sonntags,জোন্টাগস,রবিবারে,on Sundays,Sonntags ruht er sich aus.
zahlen (hat gezahlt),ৎসালেন,পেমেন্ট করা,to pay,Er zahlt die Rechnung.
pro,প্রো,প্রতি,per,Er verdient 15 Euro pro Stunde.
die Stunde -n,ডি স্টুন্ডে,ঘন্টা,hour,Er arbeitet acht Stunden pro Tag.
die Nachfrage -n,ডি নাখফ্রাগে,চাহিদা,demand,Es gibt große Nachfrage nach Deutschlehrern.
frei,ফ্রাই,মুক্ত/খালি,free/available,Er hat am Freitag frei.
jeweils,ইয়েভাইলস,যথাক্রমে,respectively,Die Kurse finden jeweils montags und donnerstags statt.
samstags,জামস্টাগস,শনিবারে,on Saturdays,Samstags macht er Sport.
