German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Ansage -n,ডি আনজাগে,ঘোষণা,announcement,Die Ansage war auf Deutsch.
drücken (hat gedrückt),ড্র্যুকেন,চাপা,to press,Drücken Sie die Taste.
(sich) anmelden (hat angemeldet),আনমেল্ডেন,নিবন্ধন করা,to register,Melden Sie sich bitte an.
verbinden (mit) (hat verbunden),ফেরবিন্ডেন,সংযুক্ত করা,to connect,Verbinden Sie mich bitte mit Herrn Müller.
hinterlassen (hat hinterlassen),হিন্টারলাসেন,রেখে যাওয়া,to leave (a message),Kann ich eine Nachricht hinterlassen?
zurückrufen (hat zurückgerufen),ৎসুর্যুকরুফেন,ফিরে ফোন করা,to call back,Ich rufe Sie zurück.
aussehen (hat ausgesehen),আউসজেহেন,দেখতে হওয়া,to look/appear,Sie sieht gut aus.
der Urlaub -e,ডার উরলাউপ,ছুটি,vacation/holiday,Wo verbringst du deinen Urlaub?
draußen,ড্রাউসেন,বাইরে,outside,Die Kinder spielen draußen.
weg,ভেগ,দূরে/চলে যাওয়া,away/gone,Er ist schon weg.
die Kaffeemaschine -n,ডি কাফেমাশিনে,কফি মেশিন,coffee machine,Die Kaffeemaschine ist kaputt.
der Friseur -e / die Friseurin -nen,ডার ফ্রিজোর / ডি ফ্রিজুরিন,নাপিত,hairdresser,Er geht zum Friseur.
bestellen (hat bestellt),বেশ্টেলেন,অর্ডার করা,to order,Was möchten Sie bestellen?
das Angebot -e,ডাস আনগেবোট,অফার,offer,Das ist ein gutes Angebot.
anbieten (hat angeboten),আনবিটেন,প্রস্তাব করা,to offer,Darf ich Ihnen etwas anbieten?
der/die Jugendliche -n,ডার/ডি ইয়ুগেন্ট্লিশে,কিশোর,k teenager,Die Jugendlichen treffen sich im Park.
die Gebrauchsanweisung -en,ডি গেব্রাউখসআনভাইজুং,ব্যবহারের নির্দেশিকা,instructions,Lesen Sie die Gebrauchsanweisung.
die Reinigung -en,ডি রাইনিগুং,পরিষ্কারক,cleaners/Dry cleaning,Die Reinigung ist um die Ecke.
der Stecker -,ডার শ্টেকার,প্লাগ,plug,Der Stecker ist defekt.
die Steckdose -n,ডি শ্টেকডোজে,সকেট,socket,Stecken Sie den Stecker in die Steckdose.
ziehen (hat gezogen),ৎসিহেন,টানা,to pull,Ziehen Sie den Stecker heraus.
