German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
Süd-Nord-,জুড-নর্ড,দক্ষিণ-উত্তর,south-north,Süd-Nord-Deutschland
der Lehrer - / die Lehrerin -nen,ডার লেহরার,শিক্ষক/শিক্ষিকা,teacher,Mein Vater ist Lehrer.
der/ die Deutsche,ডার/ডি ডয়চে,জার্মান,German person,Mein Vater ist Kroate, meine Mutter ist Deutsche.
Einkaufen,আইনকাউফেন,কেনাকাটা,shopping,Wir gehen einkaufen.
FOTO-HÖRGESCHICHTE,ফোটো-হ্যোরগেশিখতে,ছবি-শোনার গল্প,photo-listening story,FOTO-HÖRGESCHICHTE
die Banane -n,ডি বানানে,কলা,banana,Die Banane ist gelb.
die Butter (Sg.),ডি বুটার,মাখন,butter,Wir brauchen Butter.
das Ei -er,ডাস আই,ডিম,egg,Das Ei ist frisch.
das Mehl (Sg.),ডাস মেহল,আটা,flour,Wir brauchen Mehl.
die Milch (Sg.),ডি মিলখ,দুধ,milk,Die Milch ist weiß.
der Zucker (Sg.),ডার ৎসুকার,চিনি,sugar,Wir brauchen Zucker.
der Pfannkuchen -,ডার ফানকুখন,প্যানকেক,pancake,Der Pfannkuchen ist lecker.
die Schokolade (Sg.),ডি শোকোলাডে,চকলেট,chocolate,Die Schokolade ist süß.
der Bruder,ডার ব্রুডার,ভাই,brother,Mein Bruder ist groß.
die Mutter,ডি মুটার,মা,mother,Meine Mutter kocht.
die Schwester -n,ডি শভেস্টার,বোন,sister,Meine Schwester ist Studentin.
der Vater,ডার ফাটার,বাবা,father,Mein Vater arbeitet.
die Oma -s,ডি ওমা,দাদী,grandmother,Meine Oma ist alt.
der Opa -s,ডার ওপা,দাদা,grandfather,Mein Opa ist freundlich.
der Enkel -,ডার এনকেল,নাতি,grandson,Mein Enkel spielt.
Familienmitglieder,ফামিলিয়েনমিটগ্লিডার,পরিবারের সদস্য,family members,Das sind meine Familienmitglieder.
der Sohn -e,ডার জোন,ছেলে,son,Mein Sohn ist Student.
die Geschwister (Pl.),ডি গেশভিস্টার,ভাইবোন,siblings,Wir sind drei Geschwister.
die Eltern (Pl.),ডি এল্টার্ন,পিতামাতা,parents,Meine Eltern sind hier.
die Tochter -,ডি টোখতার,মেয়ে,daughter,Meine Tochter ist klein.
die Enkelin -nen,ডি এনকেলিন,নাতনি,granddaughter,Meine Enkelin ist süß.
die Großeltern (Pl.),ডি গ্রোসেল্টার্ন,দাদা-দাদী,grandparents,Meine Großeltern sind alt.
ich spreche du sprichst er/sie spricht,আমি বলি তুমি বলো সে বলে,I speak you speak he/she speaks,ich spreche, du sprichst, er/sie spricht
