German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
das Motorrad -er,ডাস মোটোররাট,মোটরসাইকেল,motorcycle,Er fährt mit dem Motorrad.
die Verletzung -en,ডি ফেরলেট্সুং,আঘাত,injury,Die Verletzung ist nicht schlimm.
das Auge -n,ডাস আউগে,চোখ,eye,Mein Auge tut weh.
die Nase -n,ডি নাজে,নাক,nose,Er hat die Nase gebrochen.
der Mund -er,ডার মুন্ড,মুখ,mouth,Öffnen Sie bitte den Mund.
die Brust -e,ডি ব্রুস্ট,বুক,chest,Er hat Schmerzen in der Brust.
der Bauch -e,ডার বাউখ,পেট,stomach,Ich habe Bauchschmerzen.
das Bein -e,ডাস বাইন,পা,leg,Mein Bein tut weh.
der Fuß -e,ডার ফুস,পা,foot,Er hat sich den Fuß verletzt.
die Werkstatt -en,ডি ভের্কশ্টাট,ওয়ার্কশপ,workshop/garage,Das Auto ist in der Werkstatt.
der Schlüssel -,ডার শ্ল্যুসল,চাবি,key,Ich habe meinen Schlüssel verloren.
die Autobahn -en,ডি আউটোবান,হাইওয়ে,motorway/highway,Die Autobahn ist frei.
die Brücke -n,ডি ব্র্যুকে,সেতু,bridge,Über die Brücke geht es zum Bahnhof.
rechts,রেখ্ট্স,ডান দিকে,right (direction),Biegen Sie rechts ab.
geradeaus,গেরাডেআউস,সোজা,straight ahead,Gehen Sie geradeaus.
links,লিংক্স,বাম দিকে,left (direction),Die Post ist links.
der Weg -e,ডার ভেগ,পথ,path/way,Welcher Weg führt zum Bahnhof?
der Bahnhof -e,ডার বানহোফ,রেল স্টেশন,railway station,Der Bahnhof ist nicht weit.
die Metzgerei -en,ডি মেট্সগারাই,কাসাইখানা,butcher's shop,Die Metzgerei ist um die Ecke.
die Post (Sg.),ডি পোস্ট,ডাকঘর,post office,Ich gehe zur Post.
das Hotel -s,ডাস হোটেল,হোটেল,hotel,Wir übernachten im Hotel.
das Haar -e,ডাস হার,চুল,hair,Sie hat langes Haar.
der Kopf -e,ডার কপ্ফ,মাথা,head,Mein Kopf tut weh.
das Ohr -en,ডাস ওর,কান,ear,Er hat Ohrenschmerzen.
der Hals -e,ডার হাল্স,গলা,neck/throat,Ich habe Halsschmerzen.
der Arm -e,ডার আর্ম,বাহু,arm,Er hat den Arm gebrochen.
der Rücken -,ডার র্যুকেন,পিঠ,back,Ich habe Rückenschmerzen.
der Finger -,ডার ফিংগার,আঙুল,finger,Er hat sich am Finger geschnitten.
die Hand -e,ডি হান্ট,হাত,hand,Wasch dir die Hände!
weh tun (hat wehgetan),ভে টুন,ব্যথা করা,to hurt,Mein Rücken tut weh.
