German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
TiPP,টিপ,পরামর্শ,tip,TiPP
Beschreiben Sie Wörter.,বেশ্রাইবেন,বর্ণনা করা,Describe words.,Beschreiben Sie Wörter.
Hier lernt man.,হিয়ার,এখানে,Here one learns.,Hier lernt man.
→ Schule,স্কুলে,স্কুল,school,→ Schule
die Sonne / Es ist sonnig.,ডি জোনে,সূর্য,sun,die Sonne / Es ist sonnig.
der Regen / Es regnet.,ডার রেগেন,বৃষ্টি,rain,der Regen / Es regnet.
die Wolke -n / Es ist bewölkt.,ডি ভোলকে,মেঘ,cloud,die Wolke -n / Es ist bewölkt.
der Schnee / Es schneit.,ডার শ্নে,তুষার,snow,der Schnee / Es schneit.
der Wind / Es ist windig.,ডার ভিন্ট,বাতাস,wind,der Wind / Es ist windig.
Wetter,ভেটার,আবহাওয়া,weather,Wetter
Es ist kalt.,এস ইস্ট কাল্ট,এটা ঠান্ডা,It is cold.,Es ist kalt.
25°,ফুন্ফ ডিগ্রি,পঁচিশ ডিগ্রি,25 degrees,25°
Es ist warm.,এস ইস্ট ভার্ম,এটা উষ্ণ,It is warm.,Es ist warm.
7,সিবেন,সাত,7,7
1,আইন্স,এক,1,1
Kinder und Schule,কিন্ডার উন্ড স্কুলে,শিশু এবং স্কুল,Children and School,Kinder und Schule
FOTO-HÖRGESCHICHTE,ফোটো-হ্যোরগেশিখতে,ছবি-শোনার গল্প,photo-listening story,FOTO-HÖRGESCHICHTE
prima,প্রিমা,চমৎকার,great,Wir sind ein prima Team!
das Team -s,ডাস টিম,দল,team,Wir sind ein prima Team!
wecken,ভেকেন,জাগানো,to wake up,Weckst du Lili?
das Frühstück -e,ডাস ফ্র্যুস্টুক,সকালের নাস্তা,breakfast,Das Frühstück ist fertig!
fertig (sein),ফার্টিগ,প্রস্তুত,ready,Das Frühstück ist fertig!
los sein,লোস জাইন,কী হচ্ছে,what's up,Was ist los?
schreiben,শ্রাইবেন,লেখা,to write,Ihr schreibt also einen Mathetest.
die Mathematik (Mathe) (Sg.),ডি মাথেমাটিক,গণিত,mathematics,Lara lernt mit Lili Mathe.
der Test -s,ডার টেস্ট,পরীক্ষা,test,Lili schreibt einen Test.
pünktlich,প্যুঙ্কটলিখ,সময়মতো,on time,Pünktlich um Viertel nach zehn.
auf keinen/jeden Fall,আউফ কাইনেন/ইয়েডেন ফাল,কোনভাবেই/নিশ্চিতভাবে,definitely,Sie will auf jeden Fall noch zum Deutschkurs gehen.
schmecken,শ্মেকেন,স্বাদ পাওয়া,to taste,Das schmeckt so lecker!
LEKTION 7 LWS 23,লেকশন,পাঠ,lesson,LEKTION 7 LWS 23
