German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
das Grad (Sg.),ডাস গ্রাড,ডিগ্রি,degree,Es sind 25 Grad.
warm,ভার্ম,উষ্ণ,warm,Es ist warm.
windig,ভিন্ডিগ,বাতাসযুক্ত,windy,Es ist windig.
kalt,কাল্ট,ঠান্ডা,cold,Es ist kalt.
schneien,শ্নাইয়েন,তুষারপাত হওয়া,to snow,Es schneit.
bewölkt,বেভ্যুল্ক্ট,মেঘাচ্ছন্ন,cloudy,Es ist bewölkt.
A2,এ-ৎসুই,এ-টু,A2,A2
der Wetterbericht -e,ডার ভেটারবেরিখ্ট,আবহাওয়ার পূর্বাভাস,weather forecast,Hier kommt der Wetterbericht für morgen.
die Mitte (Sg.),ডি মিট্টে,মধ্য,middle,In der Mitte Deutschlands scheint heute überall die Sonne.
überall,ইউবারাল,সর্বত্র,everywhere,In der Mitte Deutschlands scheint heute überall die Sonne.
die Temperatur -en,ডি টেম্পেরাটুর,তাপমাত্রা,temperature,Die Temperaturen: bis zu 20 Grad.
steigen,স্টাইগেন,বৃদ্ধি পাওয়া,to rise,Die Temperaturen steigen auf bis zu 20 Grad an der Küste.
sonnig,জোনিগ,রৌদ্রোজ্জ্বল,sunny,Es ist sonnig und warm.
leicht,লাইখ্ট,হালকা,light,Nur im Osten ist es leicht bewölkt.
bleiben,ব্লাইবেন,থাকা,to stay,Auch morgen bleibt es warm.
der Regen (Sg.),ডার রেগেন,বৃষ্টি,rain,Ich finde Regen gut.
der Schnee (Sg.),ডার শ্নে,তুষার,snow,Ich mag Schnee.
plus,প্লুস,প্লাস,plus,Es sind plus fünf Grad.
minus,মিনুস,মাইনাস,minus,Es ist minus ein Grad.
das Radio -s,ডাস রাডিও,রেডিও,radio,Im Radio kommt der Wetterbericht für morgen.
das Internet (Sg.),ডাস ইন্টারনেট,ইন্টারনেট,internet,Der Wetterbericht im Internet: www.europawetter-heute.de
A3,এ-ড্রাই,এ-থ্রি,A3,A3
der Sommer -,ডার জোমার,গ্রীষ্ম,summer,Im Sommer ist das Wetter sehr gut.
heiß,হাইস,গরম,hot,Es ist heiß und es sind circa 30 Grad.
der Frühling -e,ডার ফ্র্যুলিং,বসন্ত,spring,Im Frühling ist das Wetter oft schön.
der Herbst -e,ডার হের্বস্ট,শরৎ,autumn,Im Herbst regnet es viel.
schlecht,শ্লেখ্ট,খারাপ,bad,Am Nachmittag ist das Wetter schlecht.
der Winter -,ডার ভিন্টার,শীতকাল,winter,Im Winter ist es kalt.
20 LWS LEKTION 6,লেকশন,পাঠ,lesson,20 LWS LEKTION 6
