German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
herzlich,হের্ৎস্লিশ,আন্তরিক,cordial/heartfelt,Herzlichen Glückwunsch!
der Gast -e,ডার গাস্ট,অতিথি,guest,Wir haben Gäste heute.
der Grund -e,ডার গ্রুন্ড,কারণ,reason,Aus welchem Grund?
die Antwort -en,ডি আন্টভর্ট,উত্তর,answer,Das ist die richtige Antwort.
bitten (hat gebeten),বিটেন,অনুরোধ করা,to ask/request,Bitte um Ruhe!
das Weihnachten (Sg.),ডাস ভাইনাখ্টেন,বড়দিন,Christmas,Frohe Weihnachten!
das Ostern (Sg.),ডাস ওস্টার্ন,ইস্টার,Easter,Frohe Ostern!
das Silvester (Sg.),ডাস জিলভেস্টার,নববর্ষের আগের রাত,New Year's Eve,Guten Rutsch ins neue Jahr!
das Neujahr (Sg.),ডাস নয়য়ার,নববর্ষ,New Year,Frohes neues Jahr!
gewinnen (hat gewonnen),গেভিনেন,জেতা,to win,Er hat das Spiel gewonnen.
der/die Verwandte -n,ডার/ডি ফেরভান্টে,আত্মীয়,relative,Er ist ein Verwandter von mir.
die Karte -n,ডি কার্টে,কার্ড/টিকেট/মানচিত্র,card/map/ticket,Eine Karte nach Berlin bitte.
die Hochzeit -en,ডি হখৎসাইট,বিয়ে,wedding,Herzlichen Glückwunsch zur Hochzeit!
