German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Geburtstag -e,ডার গেবুর্ট্সটাগ,জন্মদিন,birthday,Herzlichen Glückwunsch zum Geburtstag!
der Reifen -,ডার রাইফেন,টায়ার,tire,Der Reifen ist platt.
erzählen (hat erzählt),এরৎস্যাহলেন,বলা,to tell,Erzähl mir eine Geschichte!
feiern (hat gefeiert),ফাইয়ারেন,উৎসব করা,to celebrate,Wir feiern heute.
der Abschied -e,ডার আপশিদ,বিদায়,farewell,Beim Abschied weint sie.
bald,বাল্ট,শীঘ্রই,soon,Bis bald!
beginnen (hat begonnen),বেগিনেন,শুরু করা,to begin,Wann beginnt der Film?
die Arbeitsstelle -n,ডি আরবাইটশ্টেলে,কাজের জায়গা,workplace,Er hat eine neue Arbeitsstelle.
das Glück (Sg.),ডাস গ্ল্যুক,ভাগ্য/সুখ,luck/happiness,Viel Glück!
die Freude (Sg.),ডি ফ্রয়ডে,আনন্দ,joy,Es macht mir Freude.
(sich) wünschen (hat gewünscht),ভ্যুন্শেন,কামনা করা,to wish,Was wünschst du dir?
gratulieren (hat gratuliert),গ্রাটুলিয়ারেন,অভিনন্দন জানানো,to congratulate,Ich gratuliere dir!
der Glückwunsch -e,ডার গ্ল্যুকভুন্শ,অভিনন্দন,congratulations,Herzliche Glückwünsche!
glauben (hat geglaubt),গ্লাউবেন,বিশ্বাস করা,to believe,Ich glaube dir.
besuchen (hat besucht),বেজুখেন,দেখা করা,to visit,Er besucht seine Eltern.
der November,ডার নভেম্বার,নভেম্বর,November,Im November ist es kalt.
der Januar,ডার ইয়ানুয়ার,জানুয়ারি,January,Im Januar schneit es.
