German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
der Ausflug -e,ডার আউসফ্লুগ,ভ্রমণ,excursion/trip,Familie Baumann und Lara machen einen Ausflug.
das Auto -s,ডাস আউটো,গাড়ি,car,Sofia fährt gern Auto.
wandern,ভান্ডার্ন,পাহাড়ে হাঁটা,to hike/wander,Ich wandere sehr gern.
das Picknick -s,ডাস পিকনিক,পিকনিক,picnic,Lili hat Hunger und sie machen ein Picknick.
3,ড্রাই,তিন,3,3
die Gitarre -n,ডি গিটাররে,গিটার,guitar,Walter spielt Gitarre.
telefonieren,টেলিফোনিয়ারেন,টেলিফোন করা,to telephone,Tim telefoniert.
das Wetter (Sg.),ডাস ভেটার,আবহাওয়া,weather,Das Wetter ist nicht so gut.
die Sonne (Sg.),ডি জোনে,সূর্য,sun,Die Sonne scheint.
scheinen,শাইনেন,আলো দেওয়া,to shine,Die Sonne scheint.
regnen,রেগনেন,বৃষ্টি পড়া,to rain,Es regnet.
viel-,ভিল,অনেক,many/much,Es gibt viele Wolken.
die Wolke -n,ডি ভোলকে,মেঘ,cloud,Es gibt viele Wolken.
los (losgehen),লোস,শুরু করা,to start/go,Sie gehen los.
vergessen,ফেরগেসেন,ভুলে যাওয়া,to forget,Sofia vergisst die Dose.
der Durst (Sg.),ডার দুর্স্ট,তৃষ্ণা,thirst,Hast du keinen Durst?
