German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
4,ফিয়ার,চার,4,4
Meine Wohnung,মাইন ভোনুং,আমার বাসা,my apartment,Sie sind in Laras Wohnung.
FOTO-HÖRGESCHICHTE,ফোটো-হ্যোরগেশিখতে,ছবি-শোনার গল্প,photo-listening story,FOTO-HÖRGESCHICHTE
die Wohnung -en,ডি ভোনুং,বাসা,apartment,Das ist Laras Wohnung.
die Lampe -n,ডি লাম্পে,বাতি,lamp,Walter hat eine Lampe für Lara.
das Zimmer -,ডাস ৎসিমার,কক্ষ,room,Das ist Laras Zimmer.
die Küche -n,ডি ক্যুখে,রান্নাঘর,kitchen,Das ist die Küche.
das Bad -er,ডাস বাট,স্নানঘর,bathroom,Das ist das Bad.
alt,আল্ট,পুরানো,old,Die Lampe ist alt.
neu,নয়,নতুন,new,Die Lampe ist neu.
groß,গ্রোস,বড়,big,Das Bad ist groß.
klein,ক্লাইন,ছোট,small,Das Bad ist klein.
hell,হেল,উজ্জ্বল,bright,Laras Zimmer ist hell.
dunkel,ডুঙ্কেল,অন্ধকার,dark,Laras Zimmer ist dunkel.
teuer,টয়ার,ব্যয়বহুল,expensive,Das Zimmer ist teuer.
billig,বিলিগ,সস্তা,cheap,Das Zimmer ist billig.
schön,শোন,সুন্দর,beautiful,Die Küche ist schön.
hässlich,হেসলিখ,কুৎসিত,ugly,Die Küche ist hässlich.
kennen,কেনেন,চেনা,to know,Walter kennt Tim.
A1,এ-এক,এ-ওয়ান,A1,A1
der Flur -e,ডার ফ্লুর,হলওয়ে,hallway,Der Flur ist groß.
die Toilette -n,ডি টয়লেটে,টয়লেট,toilet,Die Toilette ist klein.
der Balkon -e,ডার বালকোন,বালকনি,balcony,Der Balkon ist schön.
das Wohnzimmer -,ডাস ভোনৎসিমার,বসার ঘর,living room,Das Wohnzimmer ist hell.
der das die,ডার ডাস ডি,নির্দিষ্ট আর্টিকেল,the,der, das, die
A2,এ-ৎসুই,এ-টু,A2,A2
das Haus -er,ডাস হাউস,বাড়ি,house,Das ist das Haus.
hier,হিয়ার,এখানে,here,Hier ist der Flur.
dort,ডর্ট,সেখানে,there,Das Arbeitszimmer ist dort.
B1,বে-এক,বি-ওয়ান,B1,B1
aber,আবার,কিন্তু,but,Das Zimmer ist sehr schön, aber es ist teuer.
nicht,নিখ্ট,না,not,Das Zimmer ist nicht teuer.
der Monat -e,ডার মোনাট,মাস,month,Mein Zimmer kostet 350 Euro im Monat.
LEKTION 4 LWS 11,লেকশন,পাঠ,lesson,LEKTION 4 LWS 11
