German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Information -en,ডি ইনফর্মেশন,তথ্য,information,Er braucht mehr Informationen.
der Gruß -e,ডার গ্রুস,শুভেচ্ছা,greeting,Herzliche Grüße!
heiraten (hat geheiratet),হাইরাটেন,বিবাহ করা,to marry,Er hat geheiratet.
eigentlich,আইগেন্টলিখ,আসলে,actually,Eigentlich wollte ich nicht gehen.
später,স্পাটার,পরে,later,Wir sehen uns später.
der Reiseführer - / die Reiseführerin -nen,ডার রাইজেফ্যুরার,ভ্রমণ গাইড,tour guide,der Reiseführer / die Reiseführerin
der Tourist -en / die Touristin -nen,ডার টুরিস্ট,পর্যটক,tourist,der Tourist / die Touristin
zeigen (hat gezeigt),ৎসাইগেন,দেখানো,to show,Er zeigt mir die Stadt.
die Berufserfahrung,ডি বেরুফসেরফারুং,পেশাগত অভিজ্ঞতা,work experience,Er hat viel Berufserfahrung.
das Café -s,ডাস কাফে,ক্যাফে,café,Wir treffen uns im Café.
der Stress (Sg.),ডার স্ট্রেস,চাপ,stress,Er hat viel Stress bei der Arbeit.
manchmal,মানখমাল,কখনও কখনও,sometimes,Manchmal gehe ich ins Kino.
der Kellner - / die Kellnerin -nen,ডার কেলনার,ওয়েটার,waiter,der Kellner / die Kellnerin
das Restaurant -S,ডাস রেস্তোরাঁ,রেস্তোরাঁ,restaurant,Wir essen im Restaurant.
der Architekt -en / die Architektin -nen,ডার আরখিটেক্ট,স্থপতি,architect,der Architekt / die Architektin
der Koch -e / die Köchin -nen,ডার কখ,রাঁধুনি,chef/cook,der Koch / die Köchin
der Arbeiter - / die Arbeiterin -nen,ডার আরবাইটার,শ্রমিক,worker,der Arbeiter / die Arbeiterin
wenig,ভেনিগ,অল্প,little/few,Er verdient wenig Geld.
der Kollege -n/ die Kollegin -nen,ডার কোলেগে,সহকর্মী,colleague,Er ist mein Kollege.
