German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
das Zeugnis -se,ডাস ৎসুখনিস,প্রমাণপত্র/রিপোর্ট কার্ড,report card/certificate,,Mein Zeugnis ist gut.
das Fach -er,ডাস ফাখ,বিষয় (স্কুল),school subject,,Mathe ist mein Lieblingsfach.
die Note -n,ডি নোটে,নম্বর/গ্রেড,grade,,Welche Note hast du bekommen?
das Gymnasium - Gymnasien,ডাস গিমনাজিয়ুম,উচ্চ মাধ্যমিক বিদ্যালয়,grammar school,,Sie geht aufs Gymnasium.
das Referat -e,ডাস রেফেরাট,বক্তৃতা/রিপোর্ট,presentation,,Ich halte ein Referat.
das Abitur (Sg.),ডাস আবিতুর,মাধ্যমিক পরীক্ষা (উচ্চ),A-levels (German),,Sie macht nächstes Jahr Abitur.
der Abschluss =e,ডার আপশ্লুস,সমাপ্তি/ডিগ্রি,degree/completion,,Der Abschluss war schwer.
die Prüfung -en,ডি প্র্যুফুং,পরীক্ষা,exam,,Die Prüfung war fair.
faul,ফাউল,অলস,lazy,,Sei nicht so faul!
schrecklich,শ্রেখলিখ,ভয়ানক,terrible,,Das Wetter war schrecklich.
fleißig,ফ্লাইসিখ,পরিশ্রমী,diligent,,Sie ist sehr fleißig.
intelligent,ইন্টেলিজেন্ট,বুদ্ধিমান,intelligent,,Er ist sehr intelligent.
(sich) streiten (hat gestritten),শ্ট্রাইটেন,ঝগড়া করা,to argue,hat gestritten,Warum streitet ihr euch?
dass,ডাস,যে (অনুযায়ী),that (conj.),,"Ich denke, dass er kommt."
(sich) verbessern (hat verbessert),ফেরবেসার্ন,উন্নতি করা,to improve,hat verbessert,Ich will meine Noten verbessern.
das Verhalten (Sg.),ডাস ফারহাল্টেন,আচরণ,behavior,,Sein Verhalten war gut.
streng,শ্ট্রেং,কঠোর,strict,,Der Lehrer ist streng.
der Wunsch -e,ডার ভুনশ,ইচ্ছা,wish,,Das war sein großer Wunsch.
der Plan -e,ডার প্লান,পরিকল্পনা,plan,,Hast du einen Plan?
der Astronaut -en / die Astronautin -nen,ডার আস্ট্রোনাউট,মহাকাশচারী,astronaut,,Er will Astronaut werden.
