German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
der Meister -,ডার মাইস্টার,মাস্টার/দক্ষ কারিগর,master/craftsman,,Er ist ein erfahrener Meister.
die Sportart -en,ডি শ্পোর্টআর্ট,খেলার ধরন,type of sport,,Welche Sportart treibst du gern?
die Entspannung (Sg.),ডি এন্টশপানুং,আরাম/প্রশান্তি,relaxation,,Ich brauche mehr Entspannung.
die Ernährung (Sg.),ডি এর্ন্যারুং,খাদ্য/পুষ্টি,nutrition/diet,,Gesunde Ernährung ist wichtig.
die Bewegung -en,ডি বেভেগুং,নড়াচড়া/আন্দোলন,movement,,Regelmäßige Bewegung hilft.
fit,ফিট,ফিট,fit,,Ich fühle mich fit.
der Spaziergang -e,ডার শ্পৎসিয়ারগাং,হাঁটা/stroll,walk/stroll,,Wir machen einen Spaziergang.
(sich) verabreden mit (hat verabredet),ফেরাব্রেডেন মিট,সাক্ষাৎ ঠিক করা,to arrange to meet,hat verabredet,Ich habe mich mit Anna verabredet.
(sich) ausruhen (hat ausgeruht),আউসরুহেন,বিশ্রাম নেওয়া,to rest,hat ausgeruht,Ruhen Sie sich gut aus.
(sich) ernähren (hat ernährt),এর্ন্যারেন,খাবার গ্রহণ করা/পুষ্টি নেওয়া,to nourish oneself/eat,hat ernährt,Ich ernähre mich vegetarisch.
(sich) ärgern über (hat geärgert),এর্গার্ন উবার,বিরক্ত হওয়া,to be annoyed about,hat geärgert,Ich ärgere mich über den Lärm.
(sich) schminken (hat geschminkt),শ্মিঙ্কেন,মেকআপ করা,to put on makeup,hat geschminkt,Sie schminkt sich jeden Morgen.
(sich) rasieren (hat rasiert),রাজিরেন,দাড়ি কামানো,to shave,hat rasiert,Er rasiert sich schnell.
(sich) umziehen (hat umgezogen),উমৎসিয়েন,কাপড় বদলানো,to change clothes,hat umgezogen,Zieh dich warm an.
(sich) kämmen (hat gekämmt),কেমেন,চুল আঁচড়ানো,to comb one's hair,hat gekämmt,Das Kind kämmt sich allein.
(sich) waschen (du wäschst / hat gewaschen),ভাশেন,ধোয়া/গোসল করা,to wash,hat gewaschen,Ich wasche mich jeden Tag.
(sich) beeilen (hat beeilt),বেইলেন,তাড়াহুড়ো করা,to hurry,hat beeilt,Beeil dich bitte!
(sich) konzentrieren auf (hat konzentriert),কনৎসেনৎসিরেন আউফ,মনোযোগ দেওয়া,to concentrate on,hat konzentriert,Konzentrier dich auf die Prüfung.
(sich) beschweren über (hat beschwert),বেশভেরেন উবার,অভিযোগ করা,to complain about,hat beschwert,Ich beschwere mich über den Service.
überhaupt,উবারহাউপ্ট,সর্বপরি/একেবারে,at all/in general,,Hast du überhaupt Zeit?
die Zeitschrift -en,ডিৎসাইশ্রিফট,সাময়িকী/ম্যাগাজিন,magazine,,Ich lese eine Zeitschrift.
