German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
glücklich,গ্লুকলিশ,সুখী/খুশি,happy,,Ich bin sehr glücklich.
ansehen (du siehst an / er sieht an / hat angesehen),আনজেহেন,দেখা/তাকানো,to look at,hat angesehen,Sieh mich bitte an.
der Nachbar -n / die Nachbarin -nen,ডার নাখবার / ডি নাখবারিন,প্রতিবেশী,neighbor,,Mein Nachbar ist sehr nett.
der Einkauf =e,ডার আইনকাউফ,কেনাকাটা,purchase/shopping,,Ich mache den Einkauf am Samstag.
klappen (hat geklappt),ক্ল্যাপেন,সফল হওয়া/ঠিক হওয়া,to work out/succeed,hat geklappt,Hat alles gut geklappt?
das Zentrum (Zentren),ডাস ৎসেন্ট্রুম,কেন্দ্র,center,,Wir wohnen im Zentrum der Stadt.
das Gefühl -e,ডাস গেফুল,অনুভূতি,feeling,,Ich habe ein gutes Gefühl.
der Anfang =e,ডার আনফাং,শুরু,beginning,,Am Anfang war es schwer.
vermissen (hat vermisst),ফেরমিসেন,মনে পড়া/অভাব বোধ করা,to miss,hat vermisst,Ich vermisse meine Familie.
weil,ভাইল,কারণ,because,,Ich bin müde weil ich spät geschlafen habe.
der Mensch -en,ডার মেনশ,মানুষ,human/person,,Jeder Mensch ist anders.
der Arbeitgeber - / die Arbeitgeberin -nen,ডার আরবাইটগেবার / ডি আরবাইটগেবারিন,নিয়োগকর্তা,employer,,Mein Arbeitgeber ist sehr fair.
umziehen (ist umgezogen),উমৎসিহেন,স্থানান্তর হওয়া,to move (house),ist umgezogen,Wir ziehen nächste Woche um.
(sich) kennenlernen (hat kennengelernt),কেনেনলেরনেন,পরিচিত হওয়া,to get to know,hat kennengelernt,Ich möchte dich kennenlernen.
gestern,গেস্টার্ন,গতকাল,yesterday,,Gestern war ich im Kino.
der Umzug =e,ডার উমৎসুক,স্থানান্তর,move/relocation,,Der Umzug war sehr anstrengend.
die Sachen (Pl.),ডি জাখেন,জিনিসপত্র,things/stuff,,Pack deine Sachen ein.
auspacken (hat ausgepackt),আউসপাকেন,খোলা/আনপ্যাক করা,to unpack,hat ausgepackt,Ich muss noch meine Sachen auspacken.
einschlafen (du schläfst ein / er schläft ein / ist eingeschlafen),আইনশ্লাফেন,ঘুমিয়ে পড়া,to fall asleep,ist eingeschlafen,Das Kind ist schnell eingeschlafen.
