German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
deutsch,ডয়চ,জার্মান,German,,Ich lerne deutsch.
das Schwein -e,ডাস শভাইন,শূকর,pig,,Das Schwein ist auf dem Bauernhof.
der Alkohol (Sg.),ডার আলকোহল,মদ/অ্যালকোহল,alcohol,,Ich trinke keinen Alkohol.
zweimal,ৎসভাইমাল,দুইবার,twice,,Ich war zweimal in Berlin.
der Löffel -,ডার লোফেল,চামচ,spoon,,Gib mir bitte einen Löffel.
das Messer -,ডাস মেসার,ছুরি,knife,,Das Messer ist sehr scharf.
der Teller -,ডার টেলার,থালা/প্লেট,plate,,Der Teller ist leer.
die Gabel -n,ডি গাবেল,কাঁটাচামচ,fork,,Ich brauche eine Gabel.
das Quartett -e,ডাস কোয়ার্টেট,চারজনের দল/কোয়ার্টেট,quartet,,Wir spielen Quartett.
der Topf =e,ডার টপফ,পাত্র/হাঁড়ি,pot,,Der Topf ist auf dem Herd.
die Kanne -n,ডি কানে,জগ/কেটলি,jug/pot,,Die Kaffeekanne ist voll.
die Schüssel -n,ডি শুসেল,বাটি,bowl,,Die Schüssel ist aus Keramik.
die Pfanne -n,ডি ফানে,কড়াই/ফ্রাইপ্যান,pan/frying pan,,Brate das Ei in der Pfanne.
der Appetit (Sg.),ডার আপেটিট,ক্ষুধা/রুচি,appetite,,Guten Appetit!
riechen (hat gerochen),রিশেন,গন্ধ পাওয়া,to smell,gerochen,Das riecht sehr gut.
(sich) ausziehen (hat ausgezogen),আউসৎসিহেন,কাপড় খোলা,to undress/take off,ausgezogen,Ziehen Sie bitte die Schuhe aus.
voll,ফল,পূর্ণ/ভরা,full,,Das Glas ist voll.
okay,ওকে,ঠিক আছে,okay,,Ist das okay für dich?
vorher,ফোরহেয়ার,আগে/পূর্বে,before/previously,,Vorher muss ich noch einkaufen.
höflich,হোফলিশ,ভদ্র/বিনয়ী,polite,,Er ist sehr höflich.
die Diät -en,ডি ডিয়েট,ডায়েট/খাদ্যনিয়ন্ত্রণ,diet,,Ich mache eine Diät.
satt,জাট,পেট ভরা/তৃপ্ত,full/satisfied,,Ich bin satt.
anders,আন্ডার্স,অন্যরকম/ভিন্ন,different/otherwise,,Heute machen wir es anders.
genauso,গেনাউজো,ঠিক একইভাবে,just as/exactly the same,,Das ist genauso gut.
