German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
die Nachspeise -n,ডি নাখশপাইজে,মিষ্টান্ন/ডেজার্ট,dessert,,Als Nachspeise gibt es Eis.
der Honig (Sg.),ডার হোনিশ,মধু,honey,,Ich esse Brot mit Honig.
meistens,মাইসটেনস,বেশিরভাগ সময়,mostly/usually,,Meistens koche ich selbst.
selten,জেলটেন,কদাচিৎ/খুব কম,rarely/seldom,,Ich gehe selten ins Kino.
stimmen (hat gestimmt),শটিমেন,সঠিক হওয়া,to be correct/right,gestimmt,Das stimmt nicht.
unterwegs,উন্টারভেকস,পথে/চলার পথে,on the way,,Ich bin gerade unterwegs.
die Mahlzeit -en,ডি মালৎসাইট,খাবারের সময়/আহার,meal,,Drei Mahlzeiten am Tag sind wichtig.
mittags,মিটাকস,দুপুরে,at noon/lunchtime,,Mittags esse ich in der Kantine.
morgens,মরগেনস,সকালে,in the morning,,Morgens trinke ich Kaffee.
die Tasse -n,ডি টাসে,কাপ,cup,,Möchten Sie eine Tasse Tee?
bestimmt,বেশটিমট,নিশ্চয়ই/নির্দিষ্ট,certainly/definitely,,Das ist bestimmt richtig.
das Essen -,ডাস এসেন,খাবার,food/meal,,Das Essen schmeckt sehr gut.
das Mittagessen -,ডাস মিটাকেসেন,দুপুরের খাবার,lunch,,Was gibt es zum Mittagessen?
die Kantine -n,ডি কান্টিনে,ক্যান্টিন,canteen,,Ich esse in der Kantine.
fast,ফাস্ট,প্রায়,almost,,Ich bin fast fertig.
vegetarisch,ভেগেটারিশ,নিরামিষ,vegetarian,,Gibt es auch vegetarische Gerichte?
das Gericht -e,ডাস গেরিশট,খাবার/পদ,dish/course,,Das Gericht ist sehr lecker.
die Gewohnheit -en,ডি গেভোনহাইট,অভ্যাস,habit,,Das ist eine schlechte Gewohnheit.
übernehmen (du übernimmst / er übernimmt / hat übernommen),উবারনেমেন,গ্রহণ করা/দায়িত্ব নেওয়া,to take over,übernommen,Ich übernehme die Aufgabe.
die Marmelade -n,ডি মারমেলাডে,জ্যাম,jam/marmalade,,Ich esse Brot mit Marmelade.
