German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
die Einfahrt -en,ডি আইনফার্ট,প্রবেশপথ,entrance/driveway,,Parken Sie nicht in der Einfahrt.
der Hof -e,ডার হোফ,উঠান/আঙিনা,yard/courtyard,,Die Kinder spielen im Hof.
kündigen (hat gekündigt),কুন্ডিগেন,চাকরি ছাড়া/বাতিল করা,to quit/cancel,gekündigt,Er hat seinen Vertrag gekündigt.
der Vertrag -e,ডার ফেরট্রাগ,চুক্তি,contract/agreement,,Bitte unterschreiben Sie den Vertrag.
hoffen (hat gehofft),হফেন,আশা করা,to hope,gehofft,Ich hoffe auf gutes Wetter.
das Verständnis (Sg.),ডাস ফেরশটেন্ডনিস,বোঝাপড়া/সমঝোতা,understanding,,Vielen Dank für Ihr Verständnis.
abschließen (hat abgeschlossen),আবশ্লিসেন,তালা বন্ধ করা/শেষ করা,to lock/conclude,abgeschlossen,Bitte schließen Sie die Tür ab.
niedrig,নিডরিশ,নিচু/কম,low,,Die Kosten sind niedrig.
die Kosten (Pl.),ডি কস্টেন,খরচ,costs/expenses,,Die Kosten sind sehr hoch.
sich erhöhen (hat erhöht),জিশ এরহোহেন,বৃদ্ধি পাওয়া,to increase,erhöht,Die Miete hat sich erhöht.
entfernen (hat entfernt),এন্টফেরনেন,সরানো/দূর করা,to remove,entfernt,Bitte entfernen Sie den Müll.
der Gegenstand =e,ডার গেগেনশটান্ড,জিনিস/বস্তু,object/item,,Was ist das für ein Gegenstand?
heizen (hat geheizt),হাইৎসেন,গরম করা,to heat,geheizt,Im Winter müssen wir heizen.
der Kinderwagen -,ডার কিন্ডারভাগেন,শিশুর গাড়ি,baby stroller,,Der Kinderwagen steht im Flur.
der Aufzug ÷e,ডার আউফৎসুগ,লিফট,elevator/lift,,Nehmen Sie den Aufzug.
die Treppe -n,ডি ট্রেপে,সিঁড়ি,stairs/staircase,,Gehen Sie die Treppe hoch.
die Lösung -en,ডি লোজুং,সমাধান,solution,,Wir finden eine Lösung.
ziemlich,ৎসিমলিশ,বেশ/মোটামুটি,quite/rather,,Das ist ziemlich gut.
recht haben (hat recht gehabt),রেশট হাবেন,সঠিক হওয়া,to be right,recht gehabt,Du hast recht.
die Frage -n,ডি ফ্রাগে,প্রশ্ন,question,,Ich habe eine Frage.
die Bitte -n,ডি বিটে,অনুরোধ,request,,Ich habe eine Bitte an Sie.
die Absicht -en,ডি আবজিশট,উদ্দেশ্য,intention/purpose,,Das war keine Absicht.
die Schicht -en,ডি শিশট,স্তর/শিফট,layer/shift,,Er arbeitet in der Nachtschicht.
