German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
ausrichten (hat ausgerichtet),আউসরিশটেন,জানানো/আয়োজন করা,to pass on/organize,Kann ich etwas ausrichten?
der Export -e,ডার এক্সপোর্ট,রপ্তানি,export,Der Export ist gestiegen.
versuchen (hat versucht),ফেরজুখেন,চেষ্টা করা,to try/attempt,Ich versuche es noch einmal.
niemand,নিমান্ড,কেউ না,nobody/no one,Niemand war zu Hause.
der Feierabend -e,ডার ফাইয়ারআবেন্ড,কাজের পর অবসর,end of work/closing time,Nach Feierabend gehe ich ins Fitnessstudio.
der Import -e,ডার ইম্পোর্ট,আমদানি,import,Der Import von Waren ist teuer.
der Arbeitnehmer - / die Arbeitnehmerin -nen,ডার আরবাইটনেমার / ডি আরবাইটনেমারিন,কর্মচারী/শ্রমিক,employee/worker,Die Arbeitnehmer haben Rechte.
durchschnittlich,ডুর্শশনিটলিশ,গড়ে/গড়পড়তা,on average,Durchschnittlich arbeite ich acht Stunden.
die Ahnung -en,ডি আনুং,ধারণা,idea/clue,Ich habe keine Ahnung.
der Nationalfeiertag -e,ডার নাৎসিওনালফাইয়ারটাক,জাতীয় ছুটির দিন,national holiday,Am Nationalfeiertag haben wir frei.
die Überstunde -n,ডি উবারশটুন্ডে,ওভারটাইম,overtime,Ich mache heute Überstunden.
der Lohn =e,ডার লোন,বেতন/মজুরি,wage/salary,Der Lohn wird am Ende des Monats gezahlt.
bieten (hat geboten),বিটেন,প্রদান করা/অফার করা,to offer,Die Firma bietet gute Konditionen.
die Regel -n,ডি রেগেল,নিয়ম,rule,Das ist die Regel.
die Industrie (Sg.),ডি ইন্ডুস্ট্রি,শিল্প/কারখানা,industry,Die Industrie wächst schnell.
der Durchschnitt -e,ডার ডুর্শশনিট,গড়,average,Im Durchschnitt verdient man hier gut.
meiste -n,মাইসটে,বেশিরভাগ,most,Die meisten Leute sind nett.
insgesamt,ইনসগেজামট,মোট/সর্বমোট,in total/altogether,Insgesamt waren es 50 Personen.
gelten (er gilt / hat gegolten),গেল্টেন,প্রযোজ্য হওয়া/বৈধ থাকা,to apply/be valid,Das Ticket gilt zwei Stunden.
mindestens,মিন্ডেসটেনস,অন্তত/কমপক্ষে,at least,Man muss mindestens 18 Jahre alt sein.
