German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
die Schachtel -n,ডি শাখটেল,বাক্স,box,,Die Schachtel ist leer.
ausdrucken (hat ausgedruckt),আউসড্রুকেন,প্রিন্ট করা,to print out,hat ausgedruckt,Ich drucke die Rechnung aus.
die Briefmarke -n,ডি ব্রিফমারকে,ডাকটিকেট,stamp,,Ich brauche Briefmarken.
die Leute (Pl.),ডি লয়টে,মানুষ,people,,Viele Leute waren da.
die Kirche -n,ডি কিরখে,গির্জা,church,,Die Kirche ist alt.
die Trauung -en,ডি ট্রাউউং,বিবাহ অনুষ্ঠান,wedding ceremony,,Die Trauung war schön.
wahnsinnig,ভানজিনিশ,অসাধারণ/পাগলের মতো,crazy/amazing,,Das ist wahnsinnig gut!
die Stimmung (Sg.),ডি শ্টিমুং,মেজাজ/বাতাবরণ,mood/atmosphere,,Die Stimmung war gut.
blöd,ব্লেট,বোকা/আনফিট,stupid/silly,,Das war blöd von mir.
grüßen (hat gegrüßt),গ্র্যুসেন,অভিবাদন করা,to greet,hat gegrüßt,Sie grüßt freundlich.
wunderschön,ভুন্ডারশন,অপরূপ,beautiful,,Der Tag war wunderschön.
weinen (hat geweint),ভাইনেন,কাঁদা,to cry,hat geweint,Das Kind weint leise.
typisch,টুপিশ,সাধারণ/টাইপিক্যাল,typical,,Das ist typisch für ihn.
die Torte -n,ডি টোর্টে,কেক (বড়),cake/torte,,Die Torte schmeckt süß.
übrigens,উব্রিগেনস,আর একটা কথা,by the way,,Übrigens: morgen habe ich Zeit.
treten (du trittst / ist getreten),ট্রেটেন,পা ফেলা/লাথ মারা,to step/kick,ist getreten,Er ist auf meinen Fuß getreten.
wohl,ভোল,সম্ভবত/ভালো,probably/well,,Du kommst wohl zu spät.
nervös,নেরভোস,নার্ভাস,nervous,,Ich bin vor der Prüfung nervös.
wenigstens,ভেনিশটেনস,অন্তত,at least,,Wenigstens hast du es versucht.
wach,ভাখ,জাগ্রত,awake,,Ich bin schon wach.
wild,ভিল্ট,বন্য/উন্মত,wild,,Die Party war wild.
tragen (du trägst / hat getragen),ট্রাগেন,বহন করা/পরিধান করা,to carry/wear,hat getragen,Sie trägt einen Hut.
persönlich,পেরজনলিখ,ব্যক্তিগত,personal,,Das ist persönlich.
das Herz -en,ডাস হেরৎস,হৃদয়,heart,,Mein Herz schlägt schnell.
