German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
sympathisch,জুমপাটিশ,সহানুভূতিশীল/ভালো লাগার মতো,likeable/nice,,Anna ist sehr sympathisch.
das Mitglied -er,ডাস মিটগ্লিড,সদস্য,member,,Er ist Mitglied im Verein.
die Wohngemeinschaft -en (WG),ডি ভোনগেমাইনশাফট,শেয়ার্ড ফ্ল্যাট,shared apartment (flatshare),,Ich wohne in einer WG.
wahrscheinlich,ভারশাইনলিশ,সম্ভবত,probably,,Wahrscheinlich kommt er morgen.
das Dach =er,ডাস ডাখ,ছাদ,roof,,Das Dach ist kaputt.
bisher,বিসহেয়ার,এখন পর্যন্ত,so far/until now,,Bisher hat alles gut geklappt.
verschieden,ফেরশিডেন,বিভিন্ন/আলাদা,different/various,,Die Menschen sind sehr verschieden.
das Viertel -,ডাস ফিয়ার্টেল,এলাকা/পাড়া,quarter/neighborhood,,Ich wohne in einem schönen Viertel.
der Mieter - / die Mieterin -nen,ডার মিটার / ডি মিটারিন,ভাড়াটে,tenant/renter,,Der Mieter zahlt die Miete pünktlich.
einziehen (ist eingezogen),আইনৎসিহেন,প্রবেশ করা/ঢোকা (বাসায়),to move in,ist eingezogen,Wir sind letzte Woche eingezogen.
das Mal -e,ডাস মাল,বার/দফা,time (occurrence),,Das erste Mal war aufregend.
komisch,কোমিশ,অদ্ভুত/হাস্যকর,funny/strange,,Das ist sehr komisch.
jemand,ইয়েমান্ড,কেউ,someone/somebody,,Kennt jemand die Antwort?
reichen (hat gereicht),রাইশেন,যথেষ্ট হওয়া,to be enough/suffice,hat gereicht,Das Geld reicht nicht.
teilen (hat geteilt),টাইলেন,ভাগ করা,to share/divide,hat geteilt,Wir teilen uns die Wohnung.
ausziehen (ist ausgezogen),আউসৎসিহেন,বের হওয়া (বাসা থেকে),to move out,ist ausgezogen,Er ist letzten Monat ausgezogen.
der Platz (Sg.),ডার প্লাৎস,জায়গা,space/place,,Hier ist genug Platz.
jeder (jedes / jede),ইয়েডার,প্রতিটি/প্রত্যেক,every/each,,Jeder Mensch ist anders.
benutzen (hat benutzt),বেনুৎসেন,ব্যবহার করা,to use,hat benutzt,Darf ich dein Handy benutzen?
gemeinsam,গেমাইনজাম,একসাথে/যৌথ,together/joint,,Wir kochen gemeinsam.
sonst,জনস্ট,অন্যথায়/নাহলে,otherwise/else,,Beeil dich sonst kommen wir zu spät.
nun,নুন,এখন,now,,Nun müssen wir gehen.
