German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Fabrik -en,ডি ফাব্রিক,কারখানা,factory,Er arbeitet in einer Fabrik.
gegen,গেগেন,বিরুদ্ধে/এর দিকে,against/around,Ich bin gegen diese Idee.
planen (hat geplant),প্লানেন,পরিকল্পনা করা,to plan,Wir planen eine Reise.
täglich,টেকলিশ,প্রতিদিন,daily,Ich lese täglich die Zeitung.
das Schnitzel -,ডাস শনিৎসেল,শনিৎসেল (মাংসের পদ),schnitzel,Ich bestelle ein Wiener Schnitzel.
die Suppe -n,ডি জুপে,স্যুপ,soup,Die Suppe ist heiß.
das Stück -e,ডাস শটুক,টুকরা,piece,Ein Stück Kuchen bitte.
die Zitrone -n,ডি ৎসিট্রোনে,লেবু,lemon,Ich trinke Wasser mit Zitrone.
sauber,জাউবার,পরিষ্কার,clean,Die Küche ist sauber.
das Rind -er,ডাস রিন্ড,গরু/গবাদি পশু,cattle/beef,Das Rind ist auf der Weide.
der Braten -,ডার ব্রাটেন,ভুনা মাংস/রোস্ট,roast,Der Braten schmeckt wunderbar.
besetzt,বেজেৎসট,দখলকৃত/ব্যস্ত,occupied/busy,Der Tisch ist leider besetzt.
das Trinkgeld -er,ডাস ট্রিঙ্কগেল্ড,টিপস/বকশিশ,tip (money),Wie viel Trinkgeld gibt man hier?
