German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
der Beginn (Sg.),ডার বেগিন,শুরু,beginning,,Am Beginn war alles schwer.
die Theorie -n,ডি তেওরি,তত্ত্ব,theory,,Theorie und Praxis gehören zusammen.
die Einführung -en,ডি আইনফ্যুরুং,ভূমিকা/সূচনা,introduction,,Die Einführung war kurz.
speichern (hat gespeichert),শ্পাইখার্ন,সংরক্ষণ করা,to save/store,hat gespeichert,Ich speichere die Datei.
der Migrant -en / die Migrantin -nen,ডার মিগ্রান্ট,অভিবাসী,migrant,,Viele Migranten lernen Deutsch.
sozial,ৎসোৎসিয়াল,সামাজিক,social,,Soziale Arbeit ist wichtig.
der Vortrag =e,ডার ফোর্ট্রাখ,বক্তৃতা,lecture/talk,,Der Vortrag war interessant.
(sich) bewerben (du bewirbst / hat beworben),বেভেরবেন,আবেদন করা,to apply,hat beworben,Sie bewirbt sich um die Stelle.
präsentieren (hat präsentiert),প্রেজেনৎসিরেন,উপস্থাপন করা,to present,hat präsentiert,Er präsentiert sein Projekt.
der Experte -n / die Expertin -nen,ডার এক্সপের্টে,বিশেষজ্ঞ,expert,,Ein Experte half uns.
die Vorbereitung -en,ডি ফোরবেরাইটুং,প্রস্তুতি,preparation,,Die Vorbereitung dauerte lang.
das Zertifikat -e,ডাস ৎসেরটিফিকাট,সনদ,certificate,,Ich habe ein Zertifikat bekommen.
die Förderung -en,ডি ফেরডারুং,সমর্থন/উন্নয়ন,support/promotion,,Die Förderung hilft Schülern.
möglich,মগলিখ,সম্ভব,possible,,Ist das möglich?
die Beratung -en,ডি বেরাটুং,পরামর্শ,counseling/advice,,Die Beratung ist kostenlos.
(sich) verletzen (hat verletzt),ফেরলৎসেন,আঘাত পাওয়া,to injure oneself,hat verletzt,Er hat sich verletzt.
bluten (hat geblutet),ব্লুটেন,রক্ত পড়া,to bleed,hat geblutet,Die Wunde blutet.
das Studium (Sg.),ডাস শ্টুডিয়ুম,উচ্চশিক্ষা,studies/university study,,Das Studium ist anspruchsvoll.
der Tagesablauf *e,ডার টাগেসআবলাউফ,দৈনন্দিন সময়সূচি,daily routine,,Mein Tagesablauf ist fest.
