German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
achten auf (hat geachtet),আখটেন আউফ,মনোযোগ দেওয়া/খেয়াল রাখা,to pay attention to,geachtet,Achten Sie auf die Aussprache.
der Zettel -,ডার ৎসেটেল,চিরকুট/কাগজের টুকরো,note/slip of paper,,Schreiben Sie es auf einen Zettel.
das Kaufhaus =er,ডাস কাউফহাউস,ডিপার্টমেন্ট স্টোর,department store,,Das Kaufhaus ist sehr groß.
nutzen (hat genutzt),নুৎসেন,ব্যবহার করা,to use/utilize,genutzt,Nutzen Sie diese Gelegenheit.
die Plattform -en,ডি প্লাটফর্ম,প্ল্যাটফর্ম/মঞ্চ,platform,,Die Plattform ist sehr nützlich.
das Forum (Foren),ডাস ফোরুম,ফোরাম/আলোচনা মঞ্চ,forum,,Ich habe im Forum gefragt.
die Agentur -en,ডি আগেন্টুর,এজেন্সি,agency,,Die Agentur hilft bei der Jobsuche.
die Zeitarbeit -en,ডি ৎসাইটআরবাইট,সাময়িক কাজ/টেম্প ওয়ার্ক,temporary work,,Er macht Zeitarbeit.
der/die Auszubildende -n,ডার/ডি আউসৎসুবিল্ডেন্ডে,প্রশিক্ষণার্থী/শিক্ষানবিশ,trainee/apprentice,,Die Auszubildende lernt viel.
ausschalten (hat ausgeschaltet),আউসশাল্টেন,বন্ধ করা,to turn off/switch off,ausgeschaltet,Schalten Sie bitte das Licht aus.
die Gewerkschaft -en,ডি গেভের্কশাফট,শ্রমিক সংঘ/ইউনিয়ন,trade union,,Die Gewerkschaft vertritt die Arbeiter.
die Sicherheit (Sg.),ডি জিশারহাইট,নিরাপত্তা,safety/security,,Die Sicherheit ist sehr wichtig.
der Schutz (Sg.),ডার শুৎস,সুরক্ষা/রক্ষা,protection,,Der Schutz der Umwelt ist wichtig.
der Betrieb -e,ডার বেট্রিব,প্রতিষ্ঠান/কোম্পানি,company/business,,Der Betrieb hat 200 Mitarbeiter.
die Versammlung -en,ডি ফেরজামলুং,সভা/সমাবেশ,meeting/assembly,,Die Versammlung findet morgen statt.
die Frist -en,ডি ফ্রিস্ট,সময়সীমা,deadline/time limit,,Die Frist endet am Freitag.
die Weiterbildung -en,ডি ভাইটারবিল্ডুং,উচ্চতর প্রশিক্ষণ,further education/training,,Die Weiterbildung dauert drei Monate.
das Interesse (Sg.),ডাস ইন্টেরেসে,আগ্রহ,interest,,Ich habe großes Interesse an dem Job.
in Rente gehen,ইন রেন্টে গেহেন,অবসর নেওয়া,to retire,in Rente gegangen,Mein Vater geht nächstes Jahr in Rente.
