German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
die Energie (Sg.),ডি এনার্গি,শক্তি,energy,,Wir brauchen mehr Energie.
selbst,জেলবস্ট,নিজে,self/oneself,,Ich mache das selbst.
wechseln (hat gewechselt),ভেকজেলন,বদলানো/পরিবর্তন করা,to change/switch,hat gewechselt,Ich möchte mein Geld wechseln.
die Decke -n,ডি ডেকে,কম্বল/ছাদ,blanket/ceiling,,Die Decke ist sehr warm.
hängen (hat gehängt / hat gehangen),হ্যাঙেন,ঝোলানো/ঝুলে থাকা,to hang,hat gehängt / ist gehangen,Das Bild hängt an der Wand.
der Dank (Sg.),ডার ডাংক,ধন্যবাদ/কৃতজ্ঞতা,thanks/gratitude,,Vielen Dank für Ihre Hilfe.
nichts,নিশটস,কিছুই না,nothing,,Ich habe nichts gesagt.
die Menge -n,ডি মেঙে,পরিমাণ,quantity/amount,,Wir brauchen eine große Menge Wasser.
der Kugelschreiber -,ডার কুগেলশ্রাইবার,বলপেন,ballpoint pen,,Hast du einen Kugelschreiber?
stecken (hat gesteckt),শটেকেন,ঢোকানো/রাখা,to put/stick,hat gesteckt,Steck den Schlüssel ins Schloss.
das Schloss ÷er,ডাস শ্লস,তালা/প্রাসাদ,lock/castle,,Das Schloss ist sehr alt.
stehen (hat gestanden),শটেহেন,দাঁড়ানো,to stand,hat gestanden,Er steht vor der Tür.
das Bild -er,ডাস বিল্ড,ছবি,picture/image,,Das Bild ist sehr schön.
die Wand -e,ডি ভান্ড,দেয়াল,wall,,An der Wand hängt ein Bild.
die Katze -n,ডি কাৎসে,বিড়াল,cat,,Die Katze schläft auf dem Sofa.
legen (hat gelegt),লেগেন,রাখা/শোয়ানো,to lay/put,hat gelegt,Legen Sie das Buch auf den Tisch.
die Ruhe (Sg.),ডি রুহে,শান্তি/বিশ্রাম,peace/quiet,,Ich brauche Ruhe.
das Schild -er,ডাস শিল্ড,সাইনবোর্ড/চিহ্ন,sign/shield,,Lesen Sie das Schild an der Tür.
stören (hat gestört),শটোরেন,বিরক্ত করা,to disturb,hat gestört,Bitte stören Sie mich nicht.
stellen (hat gestellt),শটেলেন,রাখা/দাঁড় করানো,to place/put,hat gestellt,Stellen Sie die Tasse auf den Tisch.
der Stift -e,ডার শটিফট,কলম,pen/pencil,,Gib mir bitte einen Stift.
