German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
(sich) bewegen (hat bewegt),বেভেগেন,নড়াচড়া করা/চলাচল করা,to move/exercise,bewegt,Man muss sich mehr bewegen.
(sich) interessieren für (hat interessiert),ইন্টেরেসিরেন ফুর,আগ্রহী হওয়া,to be interested in,interessiert,Ich interessiere mich für Sport.
der Tanz =e,ডার টানৎস,নাচ,dance,,Der Tanz war wunderschön.
der Basketball (Sg.),ডার বাস্কেটবল,বাস্কেটবল,basketball,,Ich spiele gern Basketball.
(sich) fühlen (hat gefühlt),ফুলেন,অনুভব করা,to feel,gefühlt,Ich fühle mich gut.
zu wenig,ৎসু ভেনিশ,খুব কম,too little,,Ich schlafe zu wenig.
das Video -s,ডাস ভিডেও,ভিডিও,video,,Ich schaue ein Video.
hinfallen (du fällst hin / er fällt hin / ist hingefallen),হিনফালেন,পড়ে যাওয়া,to fall down,hingefallen,Das Kind ist hingefallen.
die Lust (Sg.),ডি লুস্ট,ইচ্ছা/আগ্রহ,desire/inclination,,Ich habe Lust auf Eis.
der Verein -e,ডার ফেরাইন,সংগঠন/ক্লাব,club/association,,Ich bin Mitglied in einem Verein.
der Versuch -e,ডার ফেরজুখ,চেষ্টা/পরীক্ষা,attempt/experiment,,Das war ein guter Versuch.
