German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
überraschen (hat überrascht),উবাররাশেন,চমকে দেওয়া/অবাক করা,to surprise,überrascht,Das überrascht mich.
seltsam,জেল্টজাম,অদ্ভুত/বিচিত্র,strange/odd,,Das finde ich seltsam.
scharf,শারফ,ঝাল/তীক্ষ্ণ,spicy/sharp,,Ich koche sehr gern scharf.
süß,জুস,মিষ্টি,sweet,,Der Saft ist süß.
salzig,জালৎসিশ,নোনতা,salty,,Die Suppe ist zu salzig.
fett,ফেট,চর্বিযুক্ত/তৈলাক্ত,fatty/greasy,,Das Essen ist zu fett.
leiten (hat geleitet),লাইটেন,পরিচালনা করা/নেতৃত্ব দেওয়া,to lead/manage,geleitet,Er leitet das Projekt.
frisch,ফ্রিশ,তাজা,fresh,,Das Brot ist frisch.
rund,রুন্ড,গোল/প্রায়,round/approximately,,Der Tisch ist rund.
unterschiedlich,উন্টারশিডলিশ,বিভিন্ন/ভিন্ন ভিন্ন,different/varying,,Die Meinungen sind unterschiedlich.
die Art -en,ডি আর্ট,ধরন/প্রকার,type/kind,,Welche Art von Musik hörst du?
das Müsli -s,ডাস মুসলি,মুসলি/সিরিয়াল,muesli/cereal,,Ich esse morgens Müsli.
die Frucht =e,ডি ফ্রুখট,ফল,fruit,,Die Frucht ist sehr süß.
die Vorspeise -n,ডি ফোরশপাইজে,স্টার্টার/প্রথম পদ,starter/appetizer,,Als Vorspeise nehme ich eine Suppe.
Haupt-,হাউপ্ট,প্রধান/মূল,main,,Das Hauptgericht ist Schnitzel.
das Prozent -e,ডাস প্রোৎসেন্ট,শতাংশ,percent,,50 Prozent der Leute sind dafür.
der Markt =e,ডার মার্কট,বাজার,market,,Ich kaufe auf dem Markt ein.
regional,রেগিওনাল,আঞ্চলিক,regional,,Ich kaufe regionale Produkte.
das Produkt -e,ডাস প্রোডুক্ট,পণ্য,product,,Das Produkt ist sehr gut.
die Umgebung -en,ডি উমগেবুং,আশেপাশের এলাকা,surroundings/area,,Die Umgebung ist sehr schön.
das Steak -s,ডাস স্টেক,স্টেক,steak,,Ich möchte ein Steak bestellen.
