German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
der Wecker -,ডার ভেকার,অ্যালার্ম ঘড়ি,alarm clock,,Der Wecker klingelt um sechs Uhr.
(sich) merken (hat gemerkt),মেরকেন,মনে রাখা,to remember/note,gemerkt,Ich kann mir das nicht merken.
schließlich,শ্লিসলিশ,অবশেষে/শেষ পর্যন্ত,finally/after all,,Schließlich hat er es geschafft.
sogar,জোগার,এমনকি,even,,Er kann sogar Deutsch sprechen.
der Arbeitstag -e,ডার আরবাইটসটাক,কর্মদিবস,working day,,Mein Arbeitstag beginnt um acht.
klingen (hat geklungen),ক্লিঙেন,শোনা যাওয়া/মনে হওয়া,to sound,geklungen,Das klingt sehr gut.
erleben (hat erlebt),এরলেবেন,অভিজ্ঞতা করা,to experience,erlebt,Ich habe viel erlebt.
die Panne -n,ডি পানে,বিপত্তি/গোলযোগ,breakdown/mishap,,Wir hatten eine Panne auf der Autobahn.
der Alltag (Sg.),ডার আলটাক,দৈনন্দিন জীবন,everyday life,,Im Alltag bin ich sehr beschäftigt.
verpassen (hat verpasst),ফেরপাসেন,মিস করা/হারানো,to miss,verpasst,Ich habe den Bus verpasst.
bemerken (hat bemerkt),বেমেরকেন,লক্ষ্য করা,to notice,bemerkt,Hast du das bemerkt?
erfahren (du erfährst / er erfährt / hat erfahren),এরফারেন,জানতে পারা,to find out/learn,erfahren,Ich habe es gestern erfahren.
(sich) vorstellen (hat vorgestellt),ফোরশটেলেন,পরিচয় দেওয়া/কল্পনা করা,to introduce/imagine,vorgestellt,Darf ich mich vorstellen?
die Geldbörse -n,ডি গেল্ডবোরজে,টাকার মানিব্যাগ,wallet/purse,,Ich habe meine Geldbörse verloren.
verlieren (hat verloren),ফেরলিরেন,হারানো,to lose,verloren,Er hat sein Handy verloren.
das Pech (Sg.),ডাস পেশ,দুর্ভাগ্য,bad luck,,So ein Pech!
die Kreditkarte -n,ডি ক্রেডিটকার্টে,ক্রেডিট কার্ড,credit card,,Kann ich mit Kreditkarte bezahlen?
stoßen (du stößt / er stößt / hat/ist gestoßen),শটোসেন,ধাক্কা দেওয়া/লাগা,to push/bump,gestoßen,Er hat mich gestoßen.
peinlich,পাইনলিশ,লজ্জাজনক,embarrassing,,Das war mir sehr peinlich.
der Onkel -,ডার অংকেল,চাচা/মামা,uncle,,Mein Onkel wohnt in Berlin.
die Tante -n,ডি টান্টে,চাচি/মামি/খালা,aunt,,Meine Tante kommt morgen.
der Cousin -s / die Cousine -n,ডার কুজাঁ / ডি কুজিনে,কাজিন,cousin,,Mein Cousin studiert Medizin.
der Neffe -n,ডার নেফে,ভাগ্নে/ভাতিজা,nephew,,Mein Neffe ist fünf Jahre alt.
die Nichte -n,ডি নিশটে,ভাগ্নি/ভাতিজি,niece,,Meine Nichte geht in die Schule.
