German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
die Geschichte (Sg.),ডি গেশিখটে,ইতিহাস/গল্প,history/story,,Die Geschichte war spannend.
das Theater -,ডাস তেআটার,থিয়েটার,theater,,Wir gehen ins Theater.
die Nachrichten (Pl.),ডি নাখরিশটেন,সংবাদ,news,,Ich höre die Nachrichten.
die Weltmeisterschaft -en,ডি ভেল্টমাইস্টারশাফট,বিশ্বচ্যাম্পিয়নশিপ,world championship,,Die Weltmeisterschaft ist groß.
die Wettervorhersage -n,ডি ভেটারফোর্হারজাগে,আবহাওয়ার পূর্বাভাস,weather forecast,,Die Wettervorhersage sagt Regen voraus.
die Mannschaft -en,ডি মানশাফট,দল,team,,Unsere Mannschaft hat gewonnen.
der Besuch -e,ডার বেজুখ,দর্শন/পরিদর্শন,visit,,Wir erwarten Besuch.
(sich) kümmern um (hat gekümmert),কিমার্ন উম,যত্ন নেওয়া,to take care of,hat gekümmert,Ich kümmere mich um die Kinder.
träumen von (hat geträumt),ট্রয়মেন ফন,স্বপ্ন দেখা,to dream of,hat geträumt,Ich träume von Urlaub.
die Angst -e,ডি আংস্ট,ভয়,fear,,Ich habe keine Angst.
ehrlich,এর্লিশ,সৎ/সত্যবাদী,honest,,Sei bitte ehrlich.
das Gold (Sg.),ডাস গোল্ট,সোনা,gold,,Gold ist teuer.
die Saison -s,ডি জেজোং,মৌসুম,season,,In der Saison ist es voll.
(sich) erinnern an (hat erinnert),এরিনার্ন আন,মনে রাখা,to remember,hat erinnert,Ich erinnere mich an dich.
denken an (hat gedacht),ডেঙ্কেন আন,চিন্তা করা,to think of,hat gedacht,Ich denke oft an meine Familie.
die Ferien (Pl.),ডি ফেরিয়েন,ছুটি (স্কুল),school holidays,,In den Ferien fahren wir weg.
die Gymnastik (Sg.),ডি গিমনাসটিক,ব্যায়াম/জিমনাস্টিক,gymnastics,,Gymnastik macht Spaß.
das Tischtennis (Sg.),ডাস টিশটেনিস,টেবিল টেনিস,table tennis,,Wir spielen Tischtennis.
der Volleyball (Sg.),ডার ফোলিবল,ভলিবল,volleyball,,Volleyball ist beliebt.
die Fitness (Sg.),ডি ফিটনেস,ফিটনেস,fitness,,Ich gehe zur Fitness.
der Beitrag -e,ডার বাইট্রাখ,অবদান/চাঁদা,contribution/fee,,Der monatliche Beitrag ist fällig.
betragen (er beträgt / hat betragen),বেট্রাগেন,পরিমাণ হওয়া,to amount to,hat betragen,Die Summe beträgt 50 Euro.
